股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
中证A100,000903,2024-01-02,3260.23,3218.49,3260.23,3218.49,52673533,95311989609.0,1.28,-1.37,-44.56,0.42
中证A100,000903,2024-01-03,3211.59,3208.99,3224.25,3193.47,46921205,85158826498.7,0.96,-0.3,-9.5,0.37
中证A100,000903,2024-01-04,3205.75,3178.25,3206.36,3154.6,48790990,86827126502.8,1.61,-0.96,-30.74,0.39
中证A100,000903,2024-01-05,3172.41,3162.03,3202.66,3145.81,54687807,95299202754.6,1.79,-0.51,-16.22,0.43
中证A100,000903,2024-01-08,3157.21,3123.37,3171.1,3119.6,55401939,88182022707.3,1.63,-1.22,-38.66,0.44
中证A100,000903,2024-01-09,3124.45,3129.95,3142.57,3112.25,50011586,90522518641.8,0.97,0.21,6.58,0.4
中证A100,000903,2024-01-10,3118.32,3111.37,3149.09,3105.81,44001200,83552356111.8,1.38,-0.59,-18.58,0.35
中证A100,000903,2024-01-11,3110.59,3131.49,3146.43,3102.57,49707584,98351627702.6,1.41,0.65,20.12,0.39
中证A100,000903,2024-01-12,3119.07,3119.39,3143.71,3112.34,44081801,83524301018.0,1.0,-0.39,-12.1,0.35
中证A100,000903,2024-01-15,3104.23,3115.94,3140.94,3096.11,39887365,74309565699.8,1.44,-0.11,-3.45,0.32
中证A100,000903,2024-01-16,3107.51,3133.77,3133.77,3095.35,47869348,89289371422.6,1.23,0.57,17.83,0.38
中证A100,000903,2024-01-17,3124.06,3060.48,3124.06,3060.48,46503170,90793348430.0,2.03,-2.34,-73.29,0.37
中证A100,000903,2024-01-18,3046.18,3111.3,3116.05,3012.45,76980323,136521027686.2,3.39,1.66,50.82,0.61
中证A100,000903,2024-01-19,3098.63,3112.17,3127.96,3091.28,55325262,106190418785.3,1.18,0.03,0.87,0.44
中证A100,000903,2024-01-22,3105.06,3072.15,3128.05,3046.33,65855311,122027544152.7,2.63,-1.29,-40.02,0.52
中证A100,000903,2024-01-23,3062.19,3081.17,3098.39,3045.27,55014870,105290980682.1,1.73,0.29,9.02,0.44
中证A100,000903,2024-01-24,3096.44,3118.13,3121.9,3039.07,65597954,112054791678.7,2.69,1.2,36.96,0.52
中证A100,000903,2024-01-25,3116.09,3179.03,3180.36,3109.33,87305165,131960966054.6,2.28,1.95,60.9,0.69
中证A100,000903,2024-01-26,3162.41,3163.53,3181.15,3148.2,81490113,122779820470.0,1.04,-0.49,-15.5,0.65
中证A100,000903,2024-01-29,3164.26,3127.24,3176.89,3127.24,78906794,126620715925.3,1.57,-1.15,-36.29,0.62
中证A100,000903,2024-01-30,3109.38,3071.6,3121.82,3071.56,62078465,104430341840.2,1.61,-1.78,-55.64,0.49
中证A100,000903,2024-01-31,3062.1,3049.43,3082.25,3036.38,64640683,114733283201.6,1.49,-0.72,-22.17,0.51
中证A100,000903,2024-02-01,3038.2,3051.96,3085.97,3028.84,61431774,104445003695.5,1.87,0.08,2.53,0.49
中证A100,000903,2024-02-02,3053.4,3011.6,3063.83,2947.49,73621843,120492796091.0,3.81,-1.32,-40.36,0.58
中证A100,000903,2024-02-05,2995.52,3042.52,3072.74,2956.95,87502535,148217505239.8,3.84,1.03,30.92,0.69
中证A100,000903,2024-02-06,3028.21,3147.3,3148.48,3026.29,86660075,148752448906.4,4.02,3.44,104.78,0.69
中证A100,000903,2024-02-07,3150.16,3183.12,3183.12,3126.75,93673893,155522352734.6,1.79,1.14,35.82,0.74
