股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
恒生指数,HSI,2024-01-02,17135.12,16788.55,17135.12,16725.28,12219939584,76641255424.0,2.4,-1.52,-258.84,0.0
恒生指数,HSI,2024-01-03,16624.92,16646.41,16657.51,16564.8,11901205504,79269707776.0,0.55,-0.85,-142.14,0.0
恒生指数,HSI,2024-01-04,16673.4,16645.98,16673.4,16516.33,9303418880,70390046720.0,0.94,0.0,-0.43,0.0
恒生指数,HSI,2024-01-05,16573.12,16535.33,16745.73,16455.57,10486511872,81830002688.0,1.74,-0.66,-110.65,0.0
恒生指数,HSI,2024-01-08,16581.86,16224.45,16592.06,16144.56,10232522240,84442062848.0,2.71,-1.88,-310.88,0.0
恒生指数,HSI,2024-01-09,16256.1,16190.02,16414.79,16190.02,8821423872,81908023296.0,1.39,-0.21,-34.43,0.0
恒生指数,HSI,2024-01-10,16143.97,16097.28,16247.3,16036.42,9412535296,74514440192.0,1.3,-0.57,-92.74,0.0
恒生指数,HSI,2024-01-11,16154.17,16302.04,16459.92,16106.83,9498785792,93716766720.0,2.19,1.27,204.76,0.0
恒生指数,HSI,2024-01-12,16216.97,16244.58,16393.74,16185.91,8380891392,69483053056.0,1.27,-0.35,-57.46,0.0
恒生指数,HSI,2024-01-15,16258.28,16216.33,16334.71,16104.5,7839377920,71079313408.0,1.42,-0.17,-28.25,0.0
恒生指数,HSI,2024-01-16,16030.25,15865.92,16197.04,15834.41,10602402048,84412882944.0,2.24,-2.16,-350.41,0.0
恒生指数,HSI,2024-01-17,15764.38,15276.9,15764.38,15194.94,15384900608,130541436928.0,3.59,-3.71,-589.02,0.0
恒生指数,HSI,2024-01-18,15301.19,15391.79,15463.69,15183.96,11773842176,107352170496.0,1.83,0.75,114.89,0.0
恒生指数,HSI,2024-01-19,15404.69,15308.69,15540.75,15207.99,10967173376,96871866368.0,2.16,-0.54,-83.1,0.0
恒生指数,HSI,2024-01-22,15349.05,14961.18,15362.91,14794.16,15720909568,112177864704.0,3.72,-2.27,-347.51,0.0
恒生指数,HSI,2024-01-23,15038.33,15353.98,15516.8,14994.37,13830335744,124067086336.0,3.49,2.63,392.8,0.0
恒生指数,HSI,2024-01-24,15602.45,15899.87,15975.11,15412.1,14774928896,128806838272.0,3.67,3.56,545.89,0.0
恒生指数,HSI,2024-01-25,15989.94,16211.96,16254.93,15828.93,16099498240,132086226944.0,2.68,1.96,312.09,0.0
恒生指数,HSI,2024-01-26,16158.72,15952.23,16240.96,15888.04,19355220736,131624255488.0,2.18,-1.6,-259.73,0.0
恒生指数,HSI,2024-01-29,16046.25,16077.24,16258.45,16012.59,15333506816,100124221440.0,1.54,0.78,125.01,0.0
恒生指数,HSI,2024-01-30,15896.66,15703.45,15896.66,15654.97,12064886528,94860247040.0,1.5,-2.32,-373.79,0.0
恒生指数,HSI,2024-01-31,15652.05,15485.07,15744.04,15411.66,12362489600,98845458432.0,2.12,-1.39,-218.38,0.0
恒生指数,HSI,2024-02-01,15522.86,15566.21,15805.06,15434.82,12667395328,94907179008.0,2.39,0.52,81.14,0.0
恒生指数,HSI,2024-02-02,15756.12,15533.56,15912.61,15435.85,13007042304,103155851264.0,3.06,-0.21,-32.65,0.0
