股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
沪深300,000300,2024-01-02,3426.27,3386.35,3426.27,3386.35,116180726,184096097448.7,1.16,-1.3,-44.76,0.37
沪深300,000300,2024-01-03,3379.75,3378.3,3392.85,3362.66,105613851,165099018642.5,0.89,-0.24,-8.05,0.33
沪深300,000300,2024-01-04,3375.02,3347.05,3375.02,3323.86,106721013,165512262698.6,1.51,-0.93,-31.25,0.34
沪深300,000300,2024-01-05,3341.31,3329.11,3372.54,3313.55,126400574,182251664948.1,1.76,-0.54,-17.94,0.4
沪深300,000300,2024-01-08,3322.61,3286.06,3333.52,3283.34,117429485,170761644873.4,1.51,-1.29,-43.05,0.37
沪深300,000300,2024-01-09,3286.71,3292.5,3304.6,3273.84,109330465,172276323045.2,0.94,0.2,6.44,0.35
沪深300,000300,2024-01-10,3281.67,3277.13,3312.92,3268.25,94199366,159777649838.1,1.36,-0.47,-15.37,0.3
沪深300,000300,2024-01-11,3275.31,3295.67,3311.11,3266.79,108789735,180978533555.5,1.35,0.57,18.54,0.34
沪深300,000300,2024-01-12,3284.36,3284.17,3310.47,3279.7,96853555,156536022291.9,0.93,-0.35,-11.5,0.31
沪深300,000300,2024-01-15,3270.1,3280.92,3306.92,3261.27,88851530,144331722430.6,1.39,-0.1,-3.25,0.28
沪深300,000300,2024-01-16,3272.57,3300.88,3300.88,3260.44,113276665,175650587488.9,1.23,0.61,19.96,0.36
沪深300,000300,2024-01-17,3291.14,3229.08,3291.14,3229.08,108769728,173516385174.7,1.88,-2.18,-71.8,0.34
沪深300,000300,2024-01-18,3214.28,3274.73,3279.25,3171.63,174909168,256784536828.0,3.33,1.41,45.65,0.55
沪深300,000300,2024-01-19,3261.24,3269.78,3286.94,3251.81,118501408,191261807098.8,1.07,-0.15,-4.95,0.37
沪深300,000300,2024-01-22,3262.47,3218.9,3281.42,3193.18,148705628,225510031844.3,2.7,-1.56,-50.88,0.47
沪深300,000300,2024-01-23,3208.43,3231.93,3249.53,3188.13,122012000,193791168624.2,1.91,0.4,13.03,0.39
沪深300,000300,2024-01-24,3245.96,3277.11,3281.49,3190.47,154371954,219036341624.5,2.82,1.4,45.18,0.49
沪深300,000300,2024-01-25,3274.34,3342.92,3344.24,3269.79,196833614,265521114954.3,2.27,2.01,65.81,0.62
沪深300,000300,2024-01-26,3326.65,3333.82,3351.97,3315.13,180664005,238144899501.0,1.1,-0.27,-9.1,0.57
沪深300,000300,2024-01-29,3335.39,3303.96,3351.37,3303.96,184164795,244698013593.3,1.42,-0.9,-29.86,0.58
沪深300,000300,2024-01-30,3283.9,3245.04,3300.2,3244.97,143649350,199592929911.7,1.67,-1.78,-58.92,0.45
沪深300,000300,2024-01-31,3231.54,3215.35,3252.15,3201.93,153143469,215333349921.2,1.55,-0.91,-29.69,0.48
沪深300,000300,2024-02-01,3202.26,3217.71,3251.76,3191.9,145516792,203815063232.5,1.86,0.07,2.36,0.46
沪深300,000300,2024-02-02,3219.87,3179.63,3235.41,3108.35,173758089,234495151557.0,3.95,-1.18,-38.08,0.55
沪深300,000300,2024-02-05,3164.25,3200.42,3233.85,3111.52,203042970,279713141507.2,3.85,0.65,20.79,0.64
沪深300,000300,2024-02-06,3185.25,3311.69,3314.51,3182.82,202713099,285042020945.9,4.11,3.48,111.27,0.64
沪深300,000300,2024-02-07,3314.03,3343.63,3343.63,3289.67,216647933,297997664575.2,1.63,0.96,31.94,0.68
沪深300,000300,2024-02-08,3351.41,3364.93,3367.21,3336.98,189977578,270239765211.0,0.9,0.64,21.3,0.6
沪深300,000300,2024-02-19,3393.19,3403.81,3403.81,3364.14,183319800,267674145147.3,1.18,1.16,38.88,0.58
沪深300,000300,2024-02-20,3395.19,3410.85,3415.89,3380.1,140734581,218459281946.0,1.05,0.21,7.04,0.44
沪深300,000300,2024-02-21,3390.36,3456.87,3500.13,3383.69,188879362,291823544608.2,3.41,1.35,46.02,0.6
沪深300,000300,2024-02-22,3450.35,3486.67,3486.68,3448.41,141020784,225098128872.7,1.11,0.86,29.8,0.45
沪深300,000300,2024-02-23,3491.34,3489.74,3507.56,3472.97,144821273,232926057113.9,0.99,0.09,3.07,0.46
沪深300,000300,2024-02-26,3485.54,3453.36,3492.61,3445.39,151248331,238951637715.0,1.35,-1.04,-36.38,0.48
沪深300,000300,2024-02-27,3440.05,3494.79,3494.79,3437.44,139528246,244488721250.8,1.66,1.2,41.43,0.44
沪深300,000300,2024-02-28,3499.83,3450.26,3521.66,3450.26,189837548,328300591256.4,2.04,-1.27,-44.53,0.6
沪深300,000300,2024-02-29,3437.9,3516.08,3516.08,3437.9,155944532,281971899288.2,2.27,1.91,65.82,0.49
沪深300,000300,2024-03-01,3515.06,3537.8,3544.36,3503.46,162709570,288575619224.5,1.16,0.62,21.72,0.51
沪深300,000300,2024-03-04,3538.37,3540.87,3548.69,3519.76,163244613,297719931809.3,0.82,0.09,3.07,0.52
沪深300,000300,2024-03-05,3524.96,3565.51,3570.69,3519.08,166422389,299895929709.1,1.46,0.7,24.64,0.53
沪深300,000300,2024-03-06,3556.53,3551.05,3577.39,3545.1,143076613,248294165707.4,0.91,-0.41,-14.46,0.45
沪深300,000300,2024-03-07,3548.1,3529.72,3569.92,3522.9,148110510,251839533036.1,1.32,-0.6,-21.33,0.47
沪深300,000300,2024-03-08,3529.55,3544.91,3548.51,3511.58,125792664,225379101014.0,1.05,0.43,15.19,0.4
沪深300,000300,2024-03-11,3545.94,3589.26,3589.26,3542.28,148202825,286418582154.6,1.33,1.25,44.35,0.47
沪深300,000300,2024-03-12,3592.58,3597.49,3605.7,3574.21,180685560,339997042337.1,0.88,0.23,8.23,0.57
沪深300,000300,2024-03-13,3594.42,3572.36,3594.42,3563.37,144590590,266898756379.8,0.86,-0.7,-25.13,0.46
沪深300,000300,2024-03-14,3571.79,3562.22,3597.46,3545.61,140962722,263803609335.2,1.45,-0.28,-10.14,0.45
沪深300,000300,2024-03-15,3554.91,3569.99,3572.81,3533.68,138316044,243991558366.2,1.1,0.22,7.77,0.44
沪深300,000300,2024-03-18,3577.06,3603.53,3604.05,3573.4,160379438,295314840611.0,0.86,0.94,33.54,0.51
沪深300,000300,2024-03-19,3593.34,3577.63,3610.74,3577.19,145571786,259553448413.4,0.93,-0.72,-25.9,0.46
沪深300,000300,2024-03-20,3568.72,3585.38,3589.55,3568.43,129528966,223752103886.2,0.59,0.22,7.75,0.41
沪深300,000300,2024-03-21,3593.07,3581.09,3601.11,3575.03,130743377,233162492629.6,0.73,-0.12,-4.29,0.41
沪深300,000300,2024-03-22,3571.27,3545.0,3575.72,3522.84,139227358,248850931022.2,1.48,-1.01,-36.09,0.44
沪深300,000300,2024-03-25,3536.71,3525.76,3564.96,3525.76,137015724,233747256235.1,1.11,-0.54,-19.24,0.43
沪深300,000300,2024-03-26,3526.68,3543.75,3547.65,3518.6,126209535,226730734844.1,0.82,0.51,17.99,0.4
沪深300,000300,2024-03-27,3538.72,3502.79,3542.96,3502.79,128626763,216404726565.9,1.13,-1.16,-40.96,0.41
沪深300,000300,2024-03-28,3498.48,3520.96,3551.21,3489.39,143334717,232530806334.5,1.76,0.52,18.17,0.45
沪深300,000300,2024-03-29,3516.88,3537.48,3538.24,3516.88,128643290,201749384356.7,0.61,0.47,16.52,0.41
沪深300,000300,2024-04-01,3551.58,3595.65,3600.92,3551.58,162776561,251637272845.1,1.39,1.64,58.17,0.51
沪深300,000300,2024-04-02,3593.22,3580.68,3596.19,3568.75,141272972,220207515542.9,0.76,-0.42,-14.97,0.45
沪深300,000300,2024-04-03,3578.68,3567.8,3582.43,3558.87,135592331,214222897580.1,0.66,-0.36,-12.88,0.43
沪深300,000300,2024-04-08,3553.56,3536.41,3567.82,3535.77,155304283,243249251687.2,0.9,-0.88,-31.39,0.49
沪深300,000300,2024-04-09,3533.38,3533.49,3543.71,3518.86,129670942,195893525574.7,0.7,-0.08,-2.92,0.41
沪深300,000300,2024-04-10,3528.97,3504.71,3531.23,3490.05,128790274,199754768626.1,1.17,-0.81,-28.78,0.41
沪深300,000300,2024-04-11,3485.03,3504.24,3520.59,3484.93,126534395,200293481885.7,1.02,-0.01,-0.47,0.4
沪深300,000300,2024-04-12,3505.75,3475.84,3516.7,3470.06,128921116,208566204702.9,1.33,-0.81,-28.4,0.41
沪深300,000300,2024-04-15,3473.5,3549.08,3552.41,3473.5,183941250,267472484531.0,2.27,2.11,73.24,0.58
沪深300,000300,2024-04-16,3533.36,3511.11,3545.5,3503.62,176153065,253315972272.3,1.18,-1.07,-37.97,0.56
沪深300,000300,2024-04-17,3509.13,3565.4,3565.94,3498.03,168466398,244987812753.2,1.93,1.55,54.29,0.53
沪深300,000300,2024-04-18,3550.56,3569.8,3602.79,3547.6,178574105,261329927268.4,1.55,0.12,4.4,0.56
沪深300,000300,2024-04-19,3550.61,3541.66,3560.95,3529.32,147281505,226229520121.3,0.89,-0.79,-28.14,0.47
沪深300,000300,2024-04-22,3536.18,3530.9,3558.16,3528.02,150579042,229511183118.0,0.85,-0.3,-10.76,0.48
沪深300,000300,2024-04-23,3525.67,3506.22,3533.76,3499.98,143113504,213257232210.7,0.96,-0.7,-24.68,0.45
沪深300,000300,2024-04-24,3514.01,3521.62,3524.54,3495.65,121739851,195299919746.2,0.82,0.44,15.4,0.38
沪深300,000300,2024-04-25,3510.64,3530.28,3543.97,3505.2,115187722,184524622000.7,1.1,0.25,8.66,0.36
沪深300,000300,2024-04-26,3531.96,3584.27,3588.4,3531.96,197216133,308045062250.7,1.6,1.53,53.99,0.62
沪深300,000300,2024-04-29,3584.54,3623.91,3645.82,3578.76,222721381,358709708837.6,1.87,1.11,39.64,0.7
沪深300,000300,2024-04-30,3619.26,3604.39,3630.71,3604.39,191296899,286674161757.8,0.73,-0.54,-19.52,0.6
沪深300,000300,2024-05-06,3654.05,3657.88,3668.26,3645.74,208018007,333270472130.0,0.62,1.48,53.49,0.66
沪深300,000300,2024-05-07,3657.0,3659.01,3665.68,3648.38,164834286,247368347983.1,0.47,0.03,1.13,0.52
沪深300,000300,2024-05-08,3650.75,3630.22,3650.94,3628.7,130035336,199923460349.8,0.61,-0.79,-28.79,0.41
沪深300,000300,2024-05-09,3630.41,3664.56,3669.76,3630.41,146559017,232694927940.9,1.08,0.95,34.34,0.46
沪深300,000300,2024-05-10,3669.09,3666.28,3674.61,3641.76,150720536,233730562074.5,0.9,0.05,1.72,0.48
沪深300,000300,2024-05-13,3646.35,3664.69,3673.62,3634.6,157267455,249688465072.9,1.06,-0.04,-1.59,0.5
沪深300,000300,2024-05-14,3668.23,3657.05,3675.78,3646.71,133406490,214643548213.8,0.79,-0.21,-7.64,0.42
沪深300,000300,2024-05-15,3651.05,3626.06,3656.53,3624.0,123522764,191480969435.1,0.89,-0.85,-30.99,0.39
沪深300,000300,2024-05-16,3636.6,3640.36,3657.48,3626.33,154630503,240288953464.0,0.86,0.39,14.3,0.49
沪深300,000300,2024-05-17,3638.56,3677.97,3677.97,3627.45,164570417,247729525192.2,1.39,1.03,37.61,0.52
沪深300,000300,2024-05-20,3682.06,3690.96,3703.03,3677.44,184609423,279971341520.4,0.7,0.35,12.99,0.58
沪深300,000300,2024-05-21,3682.29,3676.16,3684.61,3665.15,130678283,196575354877.9,0.53,-0.4,-14.8,0.41
沪深300,000300,2024-05-22,3675.65,3684.45,3691.88,3667.09,151914605,230839373504.9,0.67,0.23,8.29,0.48
沪深300,000300,2024-05-23,3672.84,3641.79,3674.37,3633.51,142572990,214205039030.7,1.11,-1.16,-42.66,0.45
沪深300,000300,2024-05-24,3630.83,3601.48,3650.87,3599.67,124791177,195344742155.9,1.41,-1.11,-40.31,0.39
沪深300,000300,2024-05-27,3606.65,3635.71,3638.15,3603.71,131272644,206143742535.6,0.96,0.95,34.23,0.41
沪深300,000300,2024-05-28,3633.25,3609.17,3638.97,3605.92,123532238,184381267979.1,0.91,-0.73,-26.54,0.39
沪深300,000300,2024-05-29,3609.07,3613.52,3633.2,3602.82,115906321,179072813277.6,0.84,0.12,4.35,0.37
