股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
科创50,000688,2024-01-02,850.97,839.8,850.97,839.8,15138040,51299035195.0,1.31,-1.43,-12.2,0.97
科创50,000688,2024-01-03,838.3,829.77,842.2,827.18,14285605,50256538423.0,1.79,-1.19,-10.03,0.92
科创50,000688,2024-01-04,831.23,823.85,831.55,817.75,12465895,42807367500.0,1.66,-0.71,-5.92,0.8
科创50,000688,2024-01-05,820.4,807.73,825.94,803.4,13831363,45426509995.0,2.74,-1.96,-16.12,0.89
科创50,000688,2024-01-08,802.9,784.43,804.6,783.74,13204224,41757658981.0,2.58,-2.88,-23.3,0.85
科创50,000688,2024-01-09,786.48,782.93,793.6,777.56,13703054,44711059436.0,2.04,-0.19,-1.5,0.88
科创50,000688,2024-01-10,779.08,777.15,790.36,771.58,12740775,41242507210.0,2.4,-0.74,-5.78,0.82
科创50,000688,2024-01-11,775.37,789.86,793.14,775.18,13547240,44546851850.0,2.31,1.64,12.71,0.87
科创50,000688,2024-01-12,788.03,778.36,790.38,778.11,13106491,41960114988.0,1.55,-1.46,-11.5,0.84
科创50,000688,2024-01-15,774.96,773.41,784.19,770.98,12190529,41242676378.0,1.7,-0.64,-4.95,0.78
科创50,000688,2024-01-16,771.84,777.4,777.53,765.43,13152859,41839701587.0,1.56,0.52,3.99,0.84
科创50,000688,2024-01-17,775.86,757.04,776.23,757.04,11754122,37491845447.0,2.47,-2.62,-20.36,0.75
科创50,000688,2024-01-18,752.29,768.28,769.12,741.34,17344119,51152319397.0,3.67,1.48,11.24,1.11
科创50,000688,2024-01-19,767.24,765.47,773.15,762.26,12880392,40209639926.0,1.42,-0.37,-2.81,0.83
科创50,000688,2024-01-22,763.6,742.23,764.62,735.41,17115759,49925569207.0,3.82,-3.04,-23.24,1.1
科创50,000688,2024-01-23,738.38,749.74,754.65,733.48,16124075,46270919233.0,2.85,1.01,7.51,1.03
科创50,000688,2024-01-24,753.01,750.27,754.22,728.37,16456236,46725962720.0,3.45,0.07,0.53,1.06
科创50,000688,2024-01-25,749.13,765.79,768.02,742.93,18867797,51522100979.0,3.34,2.07,15.52,1.21
科创50,000688,2024-01-26,759.94,746.1,762.18,742.93,15653146,44413803946.0,2.51,-2.57,-19.69,1.0
科创50,000688,2024-01-29,748.26,725.31,754.59,725.31,18099305,47533302470.0,3.92,-2.79,-20.79,1.16
科创50,000688,2024-01-30,720.19,697.85,722.63,696.56,15184450,41612056661.0,3.59,-3.79,-27.46,0.97
科创50,000688,2024-01-31,693.85,684.85,699.67,681.38,18790544,46792282544.0,2.62,-1.86,-13.0,1.21
科创50,000688,2024-02-01,680.72,690.01,704.66,678.97,17736774,45872356757.0,3.75,0.75,5.16,1.14
科创50,000688,2024-02-02,693.02,673.41,694.75,653.62,20966472,50348535505.0,5.96,-2.41,-16.6,1.35
科创50,000688,2024-02-05,675.4,676.79,687.62,635.74,27776959,58729670609.0,7.7,0.5,3.38,1.78
科创50,000688,2024-02-06,675.45,720.8,721.38,665.63,27528071,60143375048.0,8.24,6.5,44.01,1.77
科创50,000688,2024-02-07,723.31,743.42,744.34,717.7,30993446,72213965559.0,3.7,3.14,22.62,1.99
科创50,000688,2024-02-08,749.64,751.5,767.86,745.24,31037561,72357927083.0,3.04,1.09,8.08,1.99
科创50,000688,2024-02-19,762.64,763.32,763.36,748.29,27425987,68655866804.0,2.01,1.57,11.82,1.76
科创50,000688,2024-02-20,756.08,754.7,758.06,748.6,19703420,51408513057.0,1.24,-1.13,-8.62,1.26
科创50,000688,2024-02-21,747.25,755.16,769.15,744.26,22272663,57035201896.0,3.3,0.06,0.46,1.43
科创50,000688,2024-02-22,757.26,762.38,768.66,755.9,18435223,49712671043.0,1.69,0.96,7.22,1.18
科创50,000688,2024-02-23,768.51,764.48,769.81,754.35,21288172,57385787606.0,2.03,0.28,2.1,1.37
科创50,000688,2024-02-26,764.03,768.49,776.98,761.22,26715672,69780227231.0,2.06,0.52,4.01,1.71
科创50,000688,2024-02-27,763.66,796.91,797.15,761.26,24214646,71354654830.0,4.67,3.7,28.42,1.55
科创50,000688,2024-02-28,797.83,771.59,811.65,771.59,33634356,92170366772.0,5.03,-3.18,-25.32,2.16
科创50,000688,2024-02-29,769.56,807.71,807.71,769.56,26053051,76229767283.0,4.94,4.68,36.12,1.67
科创50,000688,2024-03-01,809.4,815.49,818.11,803.53,23983105,72454213478.0,1.81,0.96,7.78,1.54
科创50,000688,2024-03-04,819.96,818.51,822.65,807.39,23131064,70764262049.0,1.87,0.37,3.02,1.48
科创50,000688,2024-03-05,812.62,817.77,824.12,810.32,22349007,69594824940.0,1.69,-0.09,-0.74,1.43
科创50,000688,2024-03-06,816.14,811.9,822.79,803.99,19973582,58780249393.0,2.3,-0.72,-5.87,1.28
科创50,000688,2024-03-07,814.17,794.24,817.78,793.59,21403310,60500813735.0,2.98,-2.18,-17.66,1.37
科创50,000688,2024-03-08,795.32,803.2,805.57,791.73,20310428,57902911073.0,1.74,1.13,8.96,1.3
科创50,000688,2024-03-11,800.9,818.44,818.71,797.26,22129381,65259225212.0,2.67,1.9,15.24,1.42
科创50,000688,2024-03-12,818.52,817.75,827.63,813.05,21946276,66674864477.0,1.78,-0.08,-0.69,1.41
科创50,000688,2024-03-13,821.32,814.93,824.81,813.09,20803285,63767092186.0,1.43,-0.34,-2.82,1.34
科创50,000688,2024-03-14,811.51,804.86,815.55,797.78,21741015,64940754849.0,2.18,-1.24,-10.07,1.4
科创50,000688,2024-03-15,802.91,808.67,809.4,794.75,19734463,57967231415.0,1.82,0.47,3.81,1.27
科创50,000688,2024-03-18,810.39,825.4,825.9,809.83,23449626,73094396709.0,1.99,2.07,16.73,1.51
科创50,000688,2024-03-19,822.18,811.77,823.9,811.77,21579360,68514022866.0,1.47,-1.65,-13.63,1.39
科创50,000688,2024-03-20,810.69,814.03,815.73,806.58,20788645,65322768173.0,1.13,0.28,2.26,1.33
