股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
美元指数,UDI,2024-01-01,101.37,101.31,101.39,101.27,0,0.0,0.12,-0.07,-0.07,0.0
美元指数,UDI,2024-01-02,101.31,102.25,102.26,101.29,0,0.0,0.96,0.93,0.94,0.0
美元指数,UDI,2024-01-03,102.23,102.47,102.73,102.07,0,0.0,0.65,0.22,0.22,0.0
美元指数,UDI,2024-01-04,102.47,102.43,102.53,102.14,0,0.0,0.38,-0.04,-0.04,0.0
美元指数,UDI,2024-01-05,102.44,102.44,103.11,101.9,0,0.0,1.18,0.01,0.01,0.0
美元指数,UDI,2024-01-08,102.44,102.29,102.63,102.07,0,0.0,0.55,-0.15,-0.15,0.0
美元指数,UDI,2024-01-09,102.29,102.51,102.66,102.1,0,0.0,0.55,0.22,0.22,0.0
美元指数,UDI,2024-01-10,102.52,102.35,102.65,102.34,0,0.0,0.3,-0.16,-0.16,0.0
美元指数,UDI,2024-01-11,102.36,102.31,102.77,102.15,0,0.0,0.61,-0.04,-0.04,0.0
美元指数,UDI,2024-01-12,102.32,102.44,102.59,102.08,0,0.0,0.5,0.13,0.13,0.0
美元指数,UDI,2024-01-15,102.44,102.59,102.68,102.31,0,0.0,0.36,0.15,0.15,0.0
美元指数,UDI,2024-01-16,102.59,103.34,103.43,102.58,0,0.0,0.83,0.73,0.75,0.0
美元指数,UDI,2024-01-17,103.34,103.37,103.7,103.26,0,0.0,0.43,0.03,0.03,0.0
美元指数,UDI,2024-01-18,103.38,103.4,103.63,103.15,0,0.0,0.46,0.03,0.03,0.0
美元指数,UDI,2024-01-19,103.4,103.23,103.55,103.23,0,0.0,0.31,-0.16,-0.17,0.0
美元指数,UDI,2024-01-22,103.28,103.35,103.38,103.11,0,0.0,0.26,0.12,0.12,0.0
美元指数,UDI,2024-01-23,103.34,103.55,103.82,102.98,0,0.0,0.81,0.19,0.2,0.0
美元指数,UDI,2024-01-24,103.55,103.26,103.6,102.77,0,0.0,0.8,-0.28,-0.29,0.0
