股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
美元离岸人民币,USDCNH,2024-01-01,7.1254,7.1266,7.2065,7.1027,0,0.0,1.46,0.0,0.0002,0.0
美元离岸人民币,USDCNH,2024-01-02,7.1255,7.151,7.1543,7.1104,0,0.0,0.62,0.34,0.0244,0.0
美元离岸人民币,USDCNH,2024-01-03,7.1515,7.1644,7.1726,7.143,0,0.0,0.41,0.19,0.0134,0.0
美元离岸人民币,USDCNH,2024-01-04,7.1657,7.1772,7.1783,7.1526,0,0.0,0.36,0.18,0.0128,0.0
美元离岸人民币,USDCNH,2024-01-05,7.1762,7.1659,7.18,7.1414,0,0.0,0.54,-0.16,-0.0113,0.0
美元离岸人民币,USDCNH,2024-01-08,7.1655,7.1623,7.1748,7.1544,0,0.0,0.28,-0.05,-0.0036,0.0
美元离岸人民币,USDCNH,2024-01-09,7.1623,7.1838,7.1881,7.1604,0,0.0,0.39,0.3,0.0215,0.0
美元离岸人民币,USDCNH,2024-01-10,7.1855,7.1835,7.1895,7.1777,0,0.0,0.16,0.0,-0.0003,0.0
美元离岸人民币,USDCNH,2024-01-11,7.1836,7.1751,7.1876,7.1618,0,0.0,0.36,-0.12,-0.0084,0.0
美元离岸人民币,USDCNH,2024-01-12,7.1752,7.1907,7.1928,7.1658,0,0.0,0.38,0.22,0.0156,0.0
美元离岸人民币,USDCNH,2024-01-16,7.1843,7.219,7.2232,7.183,0,0.0,0.56,0.39,0.0283,0.0
美元离岸人民币,USDCNH,2024-01-17,7.2189,7.2215,7.2321,7.2073,0,0.0,0.34,0.03,0.0025,0.0
美元离岸人民币,USDCNH,2024-01-18,7.2236,7.2162,7.2257,7.2082,0,0.0,0.24,-0.07,-0.0053,0.0
美元离岸人民币,USDCNH,2024-01-19,7.2167,7.2035,7.2174,7.1965,0,0.0,0.29,-0.18,-0.0127,0.0
美元离岸人民币,USDCNH,2024-01-22,7.2083,7.1939,7.209,7.1912,0,0.0,0.25,-0.13,-0.0096,0.0
美元离岸人民币,USDCNH,2024-01-23,7.1937,7.1666,7.1998,7.164,0,0.0,0.5,-0.38,-0.0273,0.0
美元离岸人民币,USDCNH,2024-01-24,7.1671,7.162,7.179,7.1416,0,0.0,0.52,-0.06,-0.0046,0.0
美元离岸人民币,USDCNH,2024-01-25,7.1624,7.1792,7.1886,7.1565,0,0.0,0.45,0.24,0.0172,0.0
美元离岸人民币,USDCNH,2024-01-26,7.1795,7.1852,7.1927,7.1777,0,0.0,0.21,0.08,0.006,0.0
美元离岸人民币,USDCNH,2024-01-29,7.1863,7.1877,7.1969,7.1855,0,0.0,0.16,0.03,0.0025,0.0
美元离岸人民币,USDCNH,2024-01-30,7.1876,7.188,7.1924,7.1813,0,0.0,0.15,0.0,0.0003,0.0
美元离岸人民币,USDCNH,2024-01-31,7.188,7.1848,7.1918,7.1728,0,0.0,0.26,-0.04,-0.0032,0.0
美元离岸人民币,USDCNH,2024-02-01,7.186,7.1877,7.1974,7.1824,0,0.0,0.21,0.04,0.0029,0.0
美元离岸人民币,USDCNH,2024-02-02,7.1876,7.2159,7.2167,7.1856,0,0.0,0.43,0.39,0.0282,0.0
美元离岸人民币,USDCNH,2024-02-05,7.2155,7.22,7.2246,7.2085,0,0.0,0.22,0.06,0.0041,0.0
美元离岸人民币,USDCNH,2024-02-06,7.2199,7.201,7.22,7.1943,0,0.0,0.36,-0.26,-0.019,0.0
美元离岸人民币,USDCNH,2024-02-07,7.2012,7.2133,7.2148,7.189,0,0.0,0.36,0.17,0.0123,0.0
美元离岸人民币,USDCNH,2024-02-08,7.211,7.2158,7.2199,7.2026,0,0.0,0.24,0.03,0.0025,0.0
美元离岸人民币,USDCNH,2024-02-09,7.2154,7.2184,7.2199,7.2077,0,0.0,0.17,0.04,0.0026,0.0
美元离岸人民币,USDCNH,2024-02-12,7.2185,7.2151,7.2255,7.2128,0,0.0,0.18,-0.05,-0.0033,0.0
美元离岸人民币,USDCNH,2024-02-13,7.215,7.2312,7.2333,7.2125,0,0.0,0.29,0.22,0.0161,0.0
美元离岸人民币,USDCNH,2024-02-14,7.2313,7.2228,7.2334,7.2212,0,0.0,0.17,-0.12,-0.0084,0.0
美元离岸人民币,USDCNH,2024-02-15,7.2237,7.2175,7.2277,7.2137,0,0.0,0.19,-0.07,-0.0053,0.0
美元离岸人民币,USDCNH,2024-02-16,7.2177,7.2125,7.2235,7.2111,0,0.0,0.17,-0.07,-0.005,0.0
美元离岸人民币,USDCNH,2024-02-19,7.2132,7.2112,7.2163,7.2038,0,0.0,0.17,-0.02,-0.0013,0.0
美元离岸人民币,USDCNH,2024-02-20,7.2116,7.2018,7.2181,7.1962,0,0.0,0.3,-0.13,-0.0094,0.0
美元离岸人民币,USDCNH,2024-02-21,7.2018,7.1995,7.2069,7.1812,0,0.0,0.36,-0.03,-0.0023,0.0
美元离岸人民币,USDCNH,2024-02-22,7.1995,7.2017,7.205,7.1917,0,0.0,0.18,0.03,0.0022,0.0
美元离岸人民币,USDCNH,2024-02-23,7.2019,7.2058,7.2143,7.1989,0,0.0,0.21,0.06,0.0041,0.0
美元离岸人民币,USDCNH,2024-02-26,7.2055,7.2111,7.213,7.2026,0,0.0,0.14,0.07,0.0053,0.0
美元离岸人民币,USDCNH,2024-02-27,7.2108,7.2137,7.2148,7.2074,0,0.0,0.1,0.04,0.0026,0.0
美元离岸人民币,USDCNH,2024-02-28,7.2136,7.2137,7.2202,7.2118,0,0.0,0.12,0.0,0.0,0.0
美元离岸人民币,USDCNH,2024-02-29,7.2137,7.2089,7.2141,7.2036,0,0.0,0.15,-0.07,-0.0048,0.0
美元离岸人民币,USDCNH,2024-03-01,7.2079,7.2107,7.2153,7.2069,0,0.0,0.12,0.02,0.0018,0.0
美元离岸人民币,USDCNH,2024-03-04,7.2099,7.2101,7.2127,7.207,0,0.0,0.08,-0.01,-0.0006,0.0
美元离岸人民币,USDCNH,2024-03-05,7.2101,7.2118,7.2137,7.2061,0,0.0,0.11,0.02,0.0017,0.0
美元离岸人民币,USDCNH,2024-03-06,7.2121,7.2103,7.2176,7.2066,0,0.0,0.15,-0.02,-0.0015,0.0
美元离岸人民币,USDCNH,2024-03-07,7.2103,7.2002,7.2129,7.2,0,0.0,0.18,-0.14,-0.0101,0.0
美元离岸人民币,USDCNH,2024-03-08,7.2009,7.2012,7.2037,7.1852,0,0.0,0.26,0.01,0.001,0.0
美元离岸人民币,USDCNH,2024-03-11,7.201,7.1801,7.2012,7.1795,0,0.0,0.3,-0.29,-0.0211,0.0
美元离岸人民币,USDCNH,2024-03-12,7.1801,7.1865,7.1915,7.1721,0,0.0,0.27,0.09,0.0064,0.0
美元离岸人民币,USDCNH,2024-03-13,7.1875,7.1938,7.2023,7.1849,0,0.0,0.24,0.1,0.0073,0.0
美元离岸人民币,USDCNH,2024-03-14,7.1939,7.2026,7.2039,7.1917,0,0.0,0.17,0.12,0.0088,0.0
美元离岸人民币,USDCNH,2024-03-15,7.2023,7.2067,7.2068,7.2002,0,0.0,0.09,0.06,0.0041,0.0
美元离岸人民币,USDCNH,2024-03-18,7.2045,7.2062,7.2086,7.2021,0,0.0,0.09,-0.01,-0.0005,0.0
美元离岸人民币,USDCNH,2024-03-19,7.2066,7.2115,7.214,7.2048,0,0.0,0.13,0.07,0.0053,0.0
美元离岸人民币,USDCNH,2024-03-20,7.2119,7.2106,7.2187,7.2079,0,0.0,0.15,-0.01,-0.0009,0.0
美元离岸人民币,USDCNH,2024-03-21,7.2115,7.2221,7.2238,7.2034,0,0.0,0.28,0.16,0.0115,0.0
美元离岸人民币,USDCNH,2024-03-22,7.2218,7.2759,7.2795,7.2177,0,0.0,0.86,0.74,0.0538,0.0
美元离岸人民币,USDCNH,2024-03-25,7.2745,7.253,7.2819,7.2327,0,0.0,0.68,-0.31,-0.0229,0.0
美元离岸人民币,USDCNH,2024-03-26,7.253,7.2486,7.2542,7.2395,0,0.0,0.2,-0.06,-0.0044,0.0
美元离岸人民币,USDCNH,2024-03-27,7.2486,7.2539,7.2605,7.2464,0,0.0,0.19,0.07,0.0053,0.0
美元离岸人民币,USDCNH,2024-03-28,7.254,7.2625,7.2671,7.2444,0,0.0,0.31,0.12,0.0086,0.0
美元离岸人民币,USDCNH,2024-03-29,7.2622,7.2577,7.2644,7.2473,0,0.0,0.24,-0.07,-0.0048,0.0
美元离岸人民币,USDCNH,2024-04-01,7.2567,7.2597,7.2624,7.2481,0,0.0,0.2,0.03,0.002,0.0
美元离岸人民币,USDCNH,2024-04-02,7.26,7.2545,7.2661,7.2522,0,0.0,0.19,-0.07,-0.0052,0.0
美元离岸人民币,USDCNH,2024-04-03,7.2551,7.2489,7.2632,7.2481,0,0.0,0.21,-0.08,-0.0056,0.0
美元离岸人民币,USDCNH,2024-04-04,7.2488,7.2504,7.2528,7.2418,0,0.0,0.15,0.02,0.0015,0.0
美元离岸人民币,USDCNH,2024-04-05,7.2493,7.2478,7.2547,7.24,0,0.0,0.2,-0.04,-0.0026,0.0
美元离岸人民币,USDCNH,2024-04-08,7.2485,7.2423,7.2549,7.2403,0,0.0,0.2,-0.08,-0.0055,0.0
美元离岸人民币,USDCNH,2024-04-09,7.2427,7.2386,7.2478,7.2359,0,0.0,0.16,-0.05,-0.0037,0.0
美元离岸人民币,USDCNH,2024-04-10,7.2382,7.2617,7.2642,7.2364,0,0.0,0.38,0.32,0.0231,0.0
美元离岸人民币,USDCNH,2024-04-11,7.2619,7.2557,7.264,7.2494,0,0.0,0.2,-0.08,-0.006,0.0
美元离岸人民币,USDCNH,2024-04-12,7.2554,7.267,7.269,7.2537,0,0.0,0.21,0.16,0.0113,0.0
美元离岸人民币,USDCNH,2024-04-15,7.2672,7.2592,7.2673,7.2549,0,0.0,0.17,-0.11,-0.0078,0.0
美元离岸人民币,USDCNH,2024-04-16,7.2593,7.2628,7.2821,7.259,0,0.0,0.32,0.05,0.0036,0.0
美元离岸人民币,USDCNH,2024-04-17,7.2641,7.2443,7.2683,7.2424,0,0.0,0.36,-0.25,-0.0185,0.0
美元离岸人民币,USDCNH,2024-04-18,7.2442,7.2507,7.2538,7.2422,0,0.0,0.16,0.09,0.0064,0.0
美元离岸人民币,USDCNH,2024-04-19,7.2492,7.2516,7.2622,7.2455,0,0.0,0.23,0.01,0.0009,0.0
美元离岸人民币,USDCNH,2024-04-22,7.2507,7.2514,7.2554,7.2481,0,0.0,0.1,0.0,-0.0002,0.0
美元离岸人民币,USDCNH,2024-04-23,7.251,7.2605,7.2666,7.2501,0,0.0,0.23,0.13,0.0091,0.0
美元离岸人民币,USDCNH,2024-04-24,7.2607,7.2728,7.2737,7.2554,0,0.0,0.25,0.17,0.0123,0.0
美元离岸人民币,USDCNH,2024-04-25,7.2728,7.2555,7.2739,7.2538,0,0.0,0.28,-0.24,-0.0173,0.0
美元离岸人民币,USDCNH,2024-04-26,7.2553,7.2681,7.27,7.252,0,0.0,0.25,0.17,0.0126,0.0
美元离岸人民币,USDCNH,2024-04-29,7.2676,7.244,7.2694,7.2349,0,0.0,0.47,-0.33,-0.0241,0.0
美元离岸人民币,USDCNH,2024-04-30,7.243,7.2549,7.2572,7.2417,0,0.0,0.21,0.15,0.0109,0.0
美元离岸人民币,USDCNH,2024-05-01,7.2549,7.234,7.255,7.2322,0,0.0,0.31,-0.29,-0.0209,0.0
美元离岸人民币,USDCNH,2024-05-02,7.2343,7.2066,7.246,7.1958,0,0.0,0.69,-0.38,-0.0274,0.0
美元离岸人民币,USDCNH,2024-05-03,7.2052,7.1938,7.2078,7.1657,0,0.0,0.58,-0.18,-0.0128,0.0
美元离岸人民币,USDCNH,2024-05-06,7.1936,7.2144,7.2233,7.1933,0,0.0,0.42,0.29,0.0206,0.0
美元离岸人民币,USDCNH,2024-05-07,7.2145,7.225,7.2269,7.2129,0,0.0,0.19,0.15,0.0106,0.0
