股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
美元人民币中间价,USDCNYC,2024-01-02,7.077,7.077,7.077,7.077,0,0.0,0.0,-0.08,-0.0057,0.0
美元人民币中间价,USDCNYC,2024-01-03,7.1002,7.1002,7.1002,7.1002,0,0.0,0.0,0.33,0.0232,0.0
美元人民币中间价,USDCNYC,2024-01-04,7.0997,7.0997,7.0997,7.0997,0,0.0,0.0,-0.01,-0.0005,0.0
美元人民币中间价,USDCNYC,2024-01-05,7.1029,7.1029,7.1029,7.1029,0,0.0,0.0,0.05,0.0032,0.0
美元人民币中间价,USDCNYC,2024-01-08,7.1006,7.1006,7.1006,7.1006,0,0.0,0.0,-0.03,-0.0023,0.0
美元人民币中间价,USDCNYC,2024-01-09,7.101,7.101,7.101,7.101,0,0.0,0.0,0.01,0.0004,0.0
美元人民币中间价,USDCNYC,2024-01-10,7.1055,7.1055,7.1055,7.1055,0,0.0,0.0,0.06,0.0045,0.0
美元人民币中间价,USDCNYC,2024-01-11,7.1087,7.1087,7.1087,7.1087,0,0.0,0.0,0.05,0.0032,0.0
美元人民币中间价,USDCNYC,2024-01-12,7.105,7.105,7.105,7.105,0,0.0,0.0,-0.05,-0.0037,0.0
美元人民币中间价,USDCNYC,2024-01-15,7.1084,7.1084,7.1084,7.1084,0,0.0,0.0,0.05,0.0034,0.0
美元人民币中间价,USDCNYC,2024-01-16,7.1134,7.1134,7.1134,7.1134,0,0.0,0.0,0.07,0.005,0.0
美元人民币中间价,USDCNYC,2024-01-17,7.1168,7.1168,7.1168,7.1168,0,0.0,0.0,0.05,0.0034,0.0
美元人民币中间价,USDCNYC,2024-01-18,7.1174,7.1174,7.1174,7.1174,0,0.0,0.0,0.01,0.0006,0.0
美元人民币中间价,USDCNYC,2024-01-19,7.1167,7.1167,7.1167,7.1167,0,0.0,0.0,-0.01,-0.0007,0.0
美元人民币中间价,USDCNYC,2024-01-22,7.1105,7.1105,7.1105,7.1105,0,0.0,0.0,-0.09,-0.0062,0.0
美元人民币中间价,USDCNYC,2024-01-23,7.1117,7.1117,7.1117,7.1117,0,0.0,0.0,0.02,0.0012,0.0
美元人民币中间价,USDCNYC,2024-01-24,7.1053,7.1053,7.1053,7.1053,0,0.0,0.0,-0.09,-0.0064,0.0
美元人民币中间价,USDCNYC,2024-01-25,7.1044,7.1044,7.1044,7.1044,0,0.0,0.0,-0.01,-0.0009,0.0
美元人民币中间价,USDCNYC,2024-01-26,7.1074,7.1074,7.1074,7.1074,0,0.0,0.0,0.04,0.003,0.0
美元人民币中间价,USDCNYC,2024-01-29,7.1097,7.1097,7.1097,7.1097,0,0.0,0.0,0.03,0.0023,0.0
美元人民币中间价,USDCNYC,2024-01-30,7.1055,7.1055,7.1055,7.1055,0,0.0,0.0,-0.06,-0.0042,0.0
美元人民币中间价,USDCNYC,2024-01-31,7.1039,7.1039,7.1039,7.1039,0,0.0,0.0,-0.02,-0.0016,0.0
美元人民币中间价,USDCNYC,2024-02-01,7.1049,7.1049,7.1049,7.1049,0,0.0,0.0,0.01,0.001,0.0
美元人民币中间价,USDCNYC,2024-02-02,7.1006,7.1006,7.1006,7.1006,0,0.0,0.0,-0.06,-0.0043,0.0
美元人民币中间价,USDCNYC,2024-02-05,7.107,7.107,7.107,7.107,0,0.0,0.0,0.09,0.0064,0.0
美元人民币中间价,USDCNYC,2024-02-06,7.1082,7.1082,7.1082,7.1082,0,0.0,0.0,0.02,0.0012,0.0
美元人民币中间价,USDCNYC,2024-02-07,7.1049,7.1049,7.1049,7.1049,0,0.0,0.0,-0.05,-0.0033,0.0
美元人民币中间价,USDCNYC,2024-02-08,7.1063,7.1063,7.1063,7.1063,0,0.0,0.0,0.02,0.0014,0.0
美元人民币中间价,USDCNYC,2024-02-09,7.1036,7.1036,7.1036,7.1036,0,0.0,0.0,-0.04,-0.0027,0.0
美元人民币中间价,USDCNYC,2024-02-19,7.1032,7.1032,7.1032,7.1032,0,0.0,0.0,-0.01,-0.0004,0.0
美元人民币中间价,USDCNYC,2024-02-20,7.1068,7.1068,7.1068,7.1068,0,0.0,0.0,0.05,0.0036,0.0
美元人民币中间价,USDCNYC,2024-02-21,7.103,7.103,7.103,7.103,0,0.0,0.0,-0.05,-0.0038,0.0
美元人民币中间价,USDCNYC,2024-02-22,7.1018,7.1018,7.1018,7.1018,0,0.0,0.0,-0.02,-0.0012,0.0
美元人民币中间价,USDCNYC,2024-02-23,7.1064,7.1064,7.1064,7.1064,0,0.0,0.0,0.06,0.0046,0.0
美元人民币中间价,USDCNYC,2024-02-26,7.108,7.108,7.108,7.108,0,0.0,0.0,0.02,0.0016,0.0
美元人民币中间价,USDCNYC,2024-02-27,7.1057,7.1057,7.1057,7.1057,0,0.0,0.0,-0.03,-0.0023,0.0
美元人民币中间价,USDCNYC,2024-02-28,7.1075,7.1075,7.1075,7.1075,0,0.0,0.0,0.03,0.0018,0.0
美元人民币中间价,USDCNYC,2024-02-29,7.1036,7.1036,7.1036,7.1036,0,0.0,0.0,-0.05,-0.0039,0.0
美元人民币中间价,USDCNYC,2024-03-01,7.1059,7.1059,7.1059,7.1059,0,0.0,0.0,0.03,0.0023,0.0
美元人民币中间价,USDCNYC,2024-03-04,7.102,7.102,7.102,7.102,0,0.0,0.0,-0.05,-0.0039,0.0
美元人民币中间价,USDCNYC,2024-03-05,7.1027,7.1027,7.1027,7.1027,0,0.0,0.0,0.01,0.0007,0.0
美元人民币中间价,USDCNYC,2024-03-06,7.1016,7.1016,7.1016,7.1016,0,0.0,0.0,-0.02,-0.0011,0.0
美元人民币中间价,USDCNYC,2024-03-07,7.1002,7.1002,7.1002,7.1002,0,0.0,0.0,-0.02,-0.0014,0.0
美元人民币中间价,USDCNYC,2024-03-08,7.0978,7.0978,7.0978,7.0978,0,0.0,0.0,-0.03,-0.0024,0.0
美元人民币中间价,USDCNYC,2024-03-11,7.0969,7.0969,7.0969,7.0969,0,0.0,0.0,-0.01,-0.0009,0.0
美元人民币中间价,USDCNYC,2024-03-12,7.0963,7.0963,7.0963,7.0963,0,0.0,0.0,-0.01,-0.0006,0.0
美元人民币中间价,USDCNYC,2024-03-13,7.093,7.093,7.093,7.093,0,0.0,0.0,-0.05,-0.0033,0.0
美元人民币中间价,USDCNYC,2024-03-14,7.0974,7.0974,7.0974,7.0974,0,0.0,0.0,0.06,0.0044,0.0
美元人民币中间价,USDCNYC,2024-03-15,7.0975,7.0975,7.0975,7.0975,0,0.0,0.0,0.0,0.0001,0.0
美元人民币中间价,USDCNYC,2024-03-18,7.0943,7.0943,7.0943,7.0943,0,0.0,0.0,-0.05,-0.0032,0.0
美元人民币中间价,USDCNYC,2024-03-19,7.0985,7.0985,7.0985,7.0985,0,0.0,0.0,0.06,0.0042,0.0
美元人民币中间价,USDCNYC,2024-03-20,7.0968,7.0968,7.0968,7.0968,0,0.0,0.0,-0.02,-0.0017,0.0
美元人民币中间价,USDCNYC,2024-03-21,7.0942,7.0942,7.0942,7.0942,0,0.0,0.0,-0.04,-0.0026,0.0
美元人民币中间价,USDCNYC,2024-03-22,7.1004,7.1004,7.1004,7.1004,0,0.0,0.0,0.09,0.0062,0.0
美元人民币中间价,USDCNYC,2024-03-25,7.0996,7.0996,7.0996,7.0996,0,0.0,0.0,-0.01,-0.0008,0.0
美元人民币中间价,USDCNYC,2024-03-26,7.0943,7.0943,7.0943,7.0943,0,0.0,0.0,-0.07,-0.0053,0.0
美元人民币中间价,USDCNYC,2024-03-27,7.0946,7.0946,7.0946,7.0946,0,0.0,0.0,0.0,0.0003,0.0
美元人民币中间价,USDCNYC,2024-03-28,7.0948,7.0948,7.0948,7.0948,0,0.0,0.0,0.0,0.0002,0.0
美元人民币中间价,USDCNYC,2024-03-29,7.095,7.095,7.095,7.095,0,0.0,0.0,0.0,0.0002,0.0
美元人民币中间价,USDCNYC,2024-04-01,7.0938,7.0938,7.0938,7.0938,0,0.0,0.0,-0.02,-0.0012,0.0
美元人民币中间价,USDCNYC,2024-04-02,7.0957,7.0957,7.0957,7.0957,0,0.0,0.0,0.03,0.0019,0.0
美元人民币中间价,USDCNYC,2024-04-03,7.0949,7.0949,7.0949,7.0949,0,0.0,0.0,-0.01,-0.0008,0.0
美元人民币中间价,USDCNYC,2024-04-08,7.0947,7.0947,7.0947,7.0947,0,0.0,0.0,0.0,-0.0002,0.0
美元人民币中间价,USDCNYC,2024-04-09,7.0956,7.0956,7.0956,7.0956,0,0.0,0.0,0.01,0.0009,0.0
美元人民币中间价,USDCNYC,2024-04-10,7.0959,7.0959,7.0959,7.0959,0,0.0,0.0,0.0,0.0003,0.0
美元人民币中间价,USDCNYC,2024-04-11,7.0968,7.0968,7.0968,7.0968,0,0.0,0.0,0.01,0.0009,0.0
美元人民币中间价,USDCNYC,2024-04-12,7.0967,7.0967,7.0967,7.0967,0,0.0,0.0,0.0,-0.0001,0.0
美元人民币中间价,USDCNYC,2024-04-15,7.0979,7.0979,7.0979,7.0979,0,0.0,0.0,0.02,0.0012,0.0
美元人民币中间价,USDCNYC,2024-04-16,7.1028,7.1028,7.1028,7.1028,0,0.0,0.0,0.07,0.0049,0.0
美元人民币中间价,USDCNYC,2024-04-17,7.1025,7.1025,7.1025,7.1025,0,0.0,0.0,0.0,-0.0003,0.0
美元人民币中间价,USDCNYC,2024-04-18,7.102,7.102,7.102,7.102,0,0.0,0.0,-0.01,-0.0005,0.0
美元人民币中间价,USDCNYC,2024-04-19,7.1046,7.1046,7.1046,7.1046,0,0.0,0.0,0.04,0.0026,0.0
