商品,日期,今值,预测值,前值
中国M2货币供应年率报告,2024-01-10,,10.1,10.0
中国M2货币供应年率报告,2024-01-12,9.7,10.1,10.0
中国M2货币供应年率报告,2024-02-09,8.7,9.3,9.7
中国M2货币供应年率报告,2024-03-12,,8.8,8.7
中国M2货币供应年率报告,2024-03-13,,8.8,8.7
中国M2货币供应年率报告,2024-03-14,,8.8,8.7
中国M2货币供应年率报告,2024-03-15,8.7,8.8,8.7
中国M2货币供应年率报告,2024-04-09,,8.7,8.7
中国M2货币供应年率报告,2024-04-10,,8.7,8.7
中国M2货币供应年率报告,2024-04-11,,8.7,8.7
中国M2货币供应年率报告,2024-04-12,8.3,8.7,8.7
中国M2货币供应年率报告,2024-05-11,7.2,8.3,8.3
中国M2货币供应年率报告,2024-05-12,7.2,8.3,8.3
中国M2货币供应年率报告,2024-06-13,,7.1,7.2
中国M2货币供应年率报告,2024-06-14,7.0,7.1,7.2
中国M2货币供应年率报告,2024-07-11,,6.9,7.0
中国M2货币供应年率报告,2024-07-12,6.2,6.8,7.0
中国M2货币供应年率报告,2024-07-15,,6.9,7.0
中国M2货币供应年率报告,2024-08-11,,,6.2
中国M2货币供应年率报告,2024-08-12,,6.0,6.2
中国M2货币供应年率报告,2024-08-13,6.3,6.0,6.2
中国M2货币供应年率报告,2024-09-11,,6.2,6.3
中国M2货币供应年率报告,2024-09-12,,6.2,6.3
中国M2货币供应年率报告,2024-09-13,6.3,6.2,6.3
中国M2货币供应年率报告,2024-10-13,,6.4,6.3
中国M2货币供应年率报告,2024-10-14,6.8,6.4,6.3
中国M2货币供应年率报告,2024-11-11,7.5,7.0,6.8
中国M2货币供应年率报告,2024-11-13,,6.9,6.8
中国M2货币供应年率报告,2024-12-13,,7.6,7.5
