商品,日期,今值,预测值,前值
中国外汇储备报告,2024-01-07,32380.0,32000.0,31720
中国外汇储备报告,2024-02-07,32190.0,32170.0,32380
中国外汇储备报告,2024-03-07,32260.0,32050.0,32190
中国外汇储备报告,2024-04-07,32460.0,32100.0,32260
中国外汇储备报告,2024-05-07,32010.0,32300.0,32460
中国外汇储备报告,2024-06-07,32320.0,32100.0,32010
中国外汇储备报告,2024-07-07,32220.0,,32320
中国外汇储备报告,2024-08-07,32560.0,32500.0,32220
中国外汇储备报告,2024-09-07,32880.0,32900.0,32560
中国外汇储备报告,2024-10-07,33160.0,33000.0,32880
中国外汇储备报告,2024-11-07,32610.0,32900.0,33160
中国外汇储备报告,2024-12-07,,,32610
