商品,日期,今值,预测值,前值
中国以美元计算贸易帐报告,2024-01-12,753.4,747.5,683.9
中国以美元计算贸易帐报告,2024-01-13,,,683.9
中国以美元计算贸易帐报告,2024-03-07,1251.6,1103.0,753.4
中国以美元计算贸易帐报告,2024-04-12,585.5,702.0,1251.6
中国以美元计算贸易帐报告,2024-05-09,723.5,814.0,585.5
中国以美元计算贸易帐报告,2024-05-10,,,585.5
中国以美元计算贸易帐报告,2024-06-07,826.2,722.0,723.5
中国以美元计算贸易帐报告,2024-07-12,990.5,851.0,826.2
中国以美元计算贸易帐报告,2024-07-13,,,826.2
中国以美元计算贸易帐报告,2024-07-14,,852.0,826.2
中国以美元计算贸易帐报告,2024-08-07,846.5,975.0,990.5
中国以美元计算贸易帐报告,2024-08-08,,980.0,990.5
中国以美元计算贸易帐报告,2024-09-07,,,846.5
中国以美元计算贸易帐报告,2024-09-10,910.2,814.0,846.5
中国以美元计算贸易帐报告,2024-09-11,,839.0,846.5
中国以美元计算贸易帐报告,2024-10-13,,898.0,910.2
中国以美元计算贸易帐报告,2024-10-14,817.1,898.0,910.2
中国以美元计算贸易帐报告,2024-10-15,,915.0,910.2
中国以美元计算贸易帐报告,2024-11-07,952.7,735.0,817.1
中国以美元计算贸易帐报告,2024-11-08,,,817.1
中国以美元计算贸易帐报告,2024-12-07,,,957.2
中国以美元计算贸易帐报告,2024-12-10,,940.0,952.7
