股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
中国黄金,600916,2024-01-02,9.39,9.42,9.45,9.35,59760,58962832.0,1.06,0.0,0.0,0.73
中国黄金,600916,2024-01-03,9.41,9.4,9.46,9.37,51637,50877404.0,0.96,-0.21,-0.02,0.63
中国黄金,600916,2024-01-04,9.39,9.33,9.39,9.27,58846,57509576.0,1.28,-0.74,-0.07,0.72
中国黄金,600916,2024-01-05,9.32,9.25,9.38,9.22,52886,51660918.0,1.71,-0.86,-0.08,0.64
中国黄金,600916,2024-01-08,9.24,9.06,9.25,9.05,53306,50990959.0,2.16,-2.05,-0.19,0.65
中国黄金,600916,2024-01-09,9.05,9.03,9.13,9.01,49695,47254106.0,1.32,-0.33,-0.03,0.6
中国黄金,600916,2024-01-10,9.02,9.1,9.13,8.95,46277,43984857.0,1.99,0.78,0.07,0.56
中国黄金,600916,2024-01-11,9.09,9.13,9.18,9.07,45628,43647452.0,1.21,0.33,0.03,0.55
中国黄金,600916,2024-01-12,9.11,9.17,9.24,9.1,57837,55714836.0,1.53,0.44,0.04,0.7
中国黄金,600916,2024-01-15,9.18,9.16,9.24,9.15,61388,59191730.0,0.98,-0.11,-0.01,0.75
中国黄金,600916,2024-01-16,9.18,9.11,9.2,9.0,52530,50003922.0,2.18,-0.55,-0.05,0.64
中国黄金,600916,2024-01-17,9.08,8.95,9.14,8.94,62428,59334692.0,2.2,-1.76,-0.16,0.76
中国黄金,600916,2024-01-18,8.93,8.69,8.94,8.43,221322,200387693.0,5.7,-2.91,-0.26,2.69
中国黄金,600916,2024-01-19,8.65,8.78,8.87,8.61,90758,83720961.0,2.99,1.04,0.09,1.1
中国黄金,600916,2024-01-22,8.76,8.52,8.76,8.49,97570,88282748.0,3.08,-2.96,-0.26,1.19
中国黄金,600916,2024-01-23,8.5,8.54,8.58,8.27,91550,81471507.0,3.64,0.23,0.02,1.11
中国黄金,600916,2024-01-24,8.58,8.69,8.71,8.41,74457,67232001.0,3.51,1.76,0.15,0.91
中国黄金,600916,2024-01-25,8.68,9.19,9.2,8.67,215335,202913266.0,6.1,5.75,0.5,2.62
中国黄金,600916,2024-01-26,9.19,9.17,9.26,9.09,153966,148410660.0,1.85,-0.22,-0.02,1.87
中国黄金,600916,2024-01-29,9.17,9.22,9.38,9.07,159585,154136503.0,3.38,0.55,0.05,1.94
中国黄金,600916,2024-01-30,9.11,8.93,9.2,8.9,98831,93842673.0,3.25,-3.15,-0.29,1.2
中国黄金,600916,2024-01-31,8.9,8.67,8.99,8.66,107161,99043566.0,3.7,-2.91,-0.26,1.3
中国黄金,600916,2024-02-01,8.61,8.75,8.9,8.5,87453,79836168.0,4.61,0.92,0.08,1.06
中国黄金,600916,2024-02-02,8.73,8.62,8.86,8.45,113954,103784931.0,4.69,-1.49,-0.13,1.39
中国黄金,600916,2024-02-05,8.6,8.64,8.75,8.17,147496,131508491.0,6.73,0.23,0.02,0.88
中国黄金,600916,2024-02-06,8.55,8.93,9.05,8.44,157973,146515553.0,7.06,3.36,0.29,0.94
中国黄金,600916,2024-02-07,8.92,9.31,9.36,8.87,272463,263753364.0,5.49,4.26,0.38,1.62
中国黄金,600916,2024-02-08,9.33,9.42,9.59,9.28,227988,226053986.0,3.33,1.18,0.11,1.36
中国黄金,600916,2024-02-19,9.42,9.33,9.45,9.17,145072,141267386.0,2.97,-0.96,-0.09,0.86
中国黄金,600916,2024-02-20,9.26,9.42,9.5,9.22,141185,138625597.0,3.0,0.96,0.09,0.84
中国黄金,600916,2024-02-21,9.45,9.46,9.6,9.35,184255,183828346.0,2.65,0.42,0.04,1.1
中国黄金,600916,2024-02-22,9.44,9.45,9.48,9.33,119410,117729489.0,1.59,-0.11,-0.01,0.71
中国黄金,600916,2024-02-23,9.45,9.43,9.46,9.32,112751,110939238.0,1.48,-0.21,-0.02,0.67
中国黄金,600916,2024-02-26,9.44,9.39,9.49,9.33,93507,92016278.0,1.7,-0.42,-0.04,0.56
中国黄金,600916,2024-02-27,9.39,9.45,9.45,9.34,90081,88683049.0,1.17,0.64,0.06,0.54
中国黄金,600916,2024-02-28,9.47,9.52,9.65,9.42,285727,285583441.0,2.43,0.74,0.07,1.7
中国黄金,600916,2024-02-29,9.49,9.6,9.66,9.45,243330,243887658.0,2.21,0.84,0.08,1.45
中国黄金,600916,2024-03-01,9.59,9.84,10.03,9.56,460199,473395384.0,4.9,2.5,0.24,2.74
中国黄金,600916,2024-03-04,9.85,10.55,10.63,9.84,703806,756188104.0,8.03,7.22,0.71,4.19
中国黄金,600916,2024-03-05,10.67,10.57,11.04,10.47,530645,593462611.0,5.4,0.19,0.02,3.16
中国黄金,600916,2024-03-06,10.55,10.45,10.6,10.34,261523,285190937.0,2.46,-1.14,-0.12,1.56
中国黄金,600916,2024-03-07,10.52,10.72,10.88,10.51,304515,340227881.0,3.54,2.58,0.27,1.81
中国黄金,600916,2024-03-08,10.8,10.67,10.81,10.53,231628,256835867.0,2.61,-0.47,-0.05,1.38
中国黄金,600916,2024-03-11,10.8,10.62,10.9,10.55,206267,229680452.0,3.28,-0.47,-0.05,1.23
