日期,美元,欧元,日元,港元,英镑,澳元,新西兰元,新加坡元,瑞士法郎,加元,林吉特,卢布,兰特,韩元,迪拉姆,里亚尔,福林,兹罗提,丹麦克朗,瑞典克朗,挪威克朗,里拉,比索,泰铢,澳门元
2024-01-02,707.7,782.18,5.0274,90.564,902.26,482.77,447.84,537.0,841.94,535.2,64.812,1260.6,258.32,18207.0,51.827,52.923,4896.92,55.57,95.33,142.1,143.53,416.662,239.4,483.68,113.74
2024-01-03,710.02,778.02,5.008,90.864,897.94,481.74,445.61,536.21,837.12,534.27,64.941,1273.68,261.09,18334.0,51.665,52.755,4914.31,56.247,95.9,143.45,145.47,418.546,240.07,480.36,113.35
2024-01-04,709.97,777.62,4.9788,90.946,902.16,479.59,445.36,535.69,838.55,533.57,65.197,1287.37,262.86,18328.0,51.605,52.698,4895.66,56.04,96.0,144.44,145.33,418.481,239.42,482.73,113.34
2024-01-05,710.29,779.07,4.923,90.939,902.83,477.56,444.12,535.14,837.31,533.22,65.356,1280.43,262.98,18383.0,51.628,52.717,4870.59,55.897,95.87,143.51,144.66,419.445,239.67,484.4,113.17
2024-01-08,710.06,778.28,4.9148,90.914,904.5,478.0,444.95,534.89,836.01,532.65,65.468,1276.55,262.65,18440.0,51.64,52.734,4863.12,55.919,95.96,144.29,145.07,419.363,237.75,486.57,113.37
2024-01-09,710.1,778.76,4.9376,90.934,906.43,478.11,445.06,535.3,838.7,532.78,65.539,1276.36,261.65,18421.0,51.682,52.773,4857.74,55.76,95.92,143.77,145.77,420.933,237.22,490.54,113.27
2024-01-10,710.55,778.09,4.9334,90.897,904.88,476.18,444.71,534.67,835.38,531.84,65.399,1256.84,262.32,18476.0,51.616,52.706,4879.93,55.973,95.98,143.99,145.63,421.085,238.93,490.01,113.4
2024-01-11,710.87,781.39,4.893,90.937,907.57,477.7,444.39,534.73,837.37,532.52,65.303,1253.83,262.24,18469.0,51.594,52.686,4846.92,55.581,95.61,143.47,145.34,419.393,238.98,490.96,113.27
2024-01-12,710.5,781.42,4.9109,90.894,909.17,476.85,444.6,535.06,836.02,531.92,65.32,1244.34,262.2,18420.0,51.619,52.708,4858.34,55.789,95.59,144.06,144.74,422.332,237.88,491.08,113.32
2024-01-15,710.84,779.75,4.9138,90.9,907.47,476.77,444.59,534.55,835.1,531.45,65.392,1235.75,262.38,18412.0,51.595,52.685,4873.85,55.992,95.82,144.41,144.53,422.562,237.38,490.03,113.31
2024-01-16,711.34,780.3,4.8934,90.934,906.93,474.53,441.89,534.42,833.18,531.13,65.682,1229.48,262.26,18513.0,51.542,52.628,4865.92,56.135,95.76,144.89,145.32,422.228,237.64,489.85,113.32
2024-01-17,711.68,777.29,4.8635,90.954,903.63,471.46,439.78,532.2,830.12,530.23,65.928,1233.26,265.62,18630.0,51.413,52.501,4893.32,56.633,96.07,145.97,146.42,421.712,241.63,494.43,113.3
2024-01-18,711.74,777.37,4.8265,91.021,905.7,468.25,437.61,530.94,826.45,529.25,66.215,1235.18,267.44,18753.0,51.447,52.534,4902.66,56.702,96.13,146.21,147.22,422.038,241.55,496.69,113.22
2024-01-19,711.67,775.51,4.825,91.006,907.08,469.57,437.02,530.94,822.4,529.55,66.258,1249.46,265.55,18679.0,51.485,52.576,4936.74,56.605,96.26,147.03,147.77,422.53,241.22,496.74,113.23
2024-01-22,711.05,776.79,4.8207,90.947,905.63,470.61,437.12,531.67,821.02,531.07,66.324,1232.41,267.16,18664.0,51.541,52.631,4931.59,56.19,96.22,146.69,147.15,423.728,240.32,497.35,113.31
2024-01-23,711.17,776.35,4.824,90.967,906.88,469.24,434.34,531.35,821.29,529.67,66.514,1231.94,269.52,18714.0,51.51,52.598,4954.65,56.341,96.3,146.65,147.48,424.249,241.57,498.01,113.29
2024-01-24,710.53,774.07,4.8114,90.839,904.98,469.74,435.76,531.31,819.47,529.91,66.522,1243.2,267.35,18726.0,51.566,52.648,5003.81,56.86,96.53,147.0,147.35,425.089,243.56,500.02,113.45
2024-01-25,710.44,774.46,4.8284,90.866,905.23,468.45,435.57,530.98,824.11,526.43,66.605,1242.67,265.71,18715.0,51.634,52.726,5008.25,56.687,96.45,146.69,147.13,425.123,242.77,501.45,113.41
2024-01-26,710.74,772.56,4.8326,90.909,905.59,469.41,436.0,531.28,821.81,528.96,66.58,1244.72,265.38,18717.0,51.572,52.658,4993.97,56.721,96.64,146.57,146.55,425.313,242.05,500.73,113.36
2024-01-29,710.97,772.18,4.8187,90.973,904.89,468.91,434.55,530.68,825.19,530.31,66.536,1257.43,264.0,18704.0,51.559,52.645,5033.06,56.653,96.64,146.93,146.51,425.324,241.51,498.78,113.28
2024-01-30,710.55,771.5,4.839,90.95,905.74,471.27,437.47,531.73,827.23,531.58,66.478,1249.77,264.24,18661.0,51.582,52.669,5049.75,56.692,96.73,146.63,146.4,426.141,242.31,496.18,113.31
2024-01-31,710.39,771.53,4.8322,90.878,904.21,469.55,436.93,531.44,826.51,531.73,66.514,1255.9,264.02,18626.0,51.596,52.682,5012.23,56.431,96.71,146.29,146.83,426.408,241.42,495.65,113.4
2024-02-01,710.49,769.53,4.8564,90.879,903.94,468.1,436.21,531.51,826.89,530.79,66.551,1259.09,262.21,18657.0,51.563,52.646,4991.87,56.311,96.95,146.0,147.74,426.163,242.14,497.62,113.43
