股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
布伦特原油当月连续,B00Y,2024-01-02,77.39,76.04,79.06,75.6,338351,0.0,4.49,-1.3,-1.0,0.0
布伦特原油当月连续,B00Y,2024-01-03,76.06,78.44,78.67,74.79,361765,0.0,5.11,3.36,2.55,0.0
布伦特原油当月连续,B00Y,2024-01-04,78.56,77.74,79.41,76.5,356646,0.0,3.72,-0.65,-0.51,0.0
布伦特原油当月连续,B00Y,2024-01-05,77.71,78.9,79.26,77.66,291002,0.0,2.06,1.69,1.31,0.0
布伦特原油当月连续,B00Y,2024-01-08,78.7,76.27,78.95,75.26,342629,0.0,4.69,-3.16,-2.49,0.0
布伦特原油当月连续,B00Y,2024-01-09,76.3,77.49,78.19,75.95,346788,0.0,2.94,1.8,1.37,0.0
布伦特原油当月连续,B00Y,2024-01-10,77.48,76.78,78.73,76.38,353703,0.0,3.03,-1.04,-0.81,0.0
布伦特原油当月连续,B00Y,2024-01-11,76.7,78.48,79.1,76.66,396767,0.0,3.18,2.19,1.68,0.0
布伦特原油当月连续,B00Y,2024-01-12,78.75,78.32,80.75,77.96,401343,0.0,3.6,1.18,0.91,0.0
布伦特原油当月连续,B00Y,2024-01-15,78.14,78.64,78.9,76.85,177690,0.0,2.62,0.45,0.35,0.0
布伦特原油当月连续,B00Y,2024-01-16,78.43,77.9,79.4,77.6,298548,0.0,2.3,-0.32,-0.25,0.0
布伦特原油当月连续,B00Y,2024-01-17,77.77,78.11,78.19,76.5,355399,0.0,2.16,-0.23,-0.18,0.0
布伦特原油当月连续,B00Y,2024-01-18,78.15,78.96,79.3,77.33,325286,0.0,2.53,1.39,1.08,0.0
布伦特原油当月连续,B00Y,2024-01-19,79.1,78.63,79.73,78.32,282310,0.0,1.78,-0.59,-0.47,0.0
布伦特原油当月连续,B00Y,2024-01-22,78.89,79.89,80.55,77.81,319709,0.0,3.49,1.69,1.33,0.0
布伦特原油当月连续,B00Y,2024-01-23,79.92,79.73,80.43,78.7,331098,0.0,2.16,-0.41,-0.33,0.0
布伦特原油当月连续,B00Y,2024-01-24,79.56,80.23,80.73,79.05,230749,0.0,2.11,0.85,0.68,0.0
布伦特原油当月连续,B00Y,2024-01-25,79.93,81.84,82.07,79.66,325054,0.0,3.01,2.25,1.8,0.0
布伦特原油当月连续,B00Y,2024-01-26,81.91,83.02,83.19,80.79,448943,0.0,2.93,1.29,1.06,0.0
布伦特原油当月连续,B00Y,2024-01-29,83.53,82.0,84.17,81.46,410494,0.0,3.27,-1.15,-0.95,0.0
布伦特原油当月连续,B00Y,2024-01-30,82.08,82.43,82.86,80.83,424452,0.0,2.48,0.73,0.6,0.0
布伦特原油当月连续,B00Y,2024-01-31,82.64,80.69,82.65,80.27,392367,0.0,2.88,-2.19,-1.81,0.0
布伦特原油当月连续,B00Y,2024-02-01,80.57,78.82,81.55,78.57,525769,0.0,3.7,-2.15,-1.73,0.0
布伦特原油当月连续,B00Y,2024-02-02,79.15,77.67,79.44,76.85,411746,0.0,3.29,-1.31,-1.03,0.0
布伦特原油当月连续,B00Y,2024-02-05,77.9,77.93,78.33,76.62,293369,0.0,2.21,0.78,0.6,0.0
布伦特原油当月连续,B00Y,2024-02-06,77.95,78.77,79.08,77.63,305614,0.0,1.86,1.0,0.78,0.0
布伦特原油当月连续,B00Y,2024-02-07,78.7,79.43,79.5,78.49,291684,0.0,1.29,1.07,0.84,0.0
布伦特原油当月连续,B00Y,2024-02-08,79.3,81.75,81.9,79.03,436501,0.0,3.62,3.21,2.54,0.0
布伦特原油当月连续,B00Y,2024-02-09,81.72,81.86,82.45,81.21,315322,0.0,1.52,0.28,0.23,0.0
布伦特原油当月连续,B00Y,2024-02-12,81.94,82.08,82.19,80.77,246238,0.0,1.73,-0.13,-0.11,0.0
布伦特原油当月连续,B00Y,2024-02-13,82.0,82.66,83.24,81.96,331801,0.0,1.56,0.8,0.66,0.0
布伦特原油当月连续,B00Y,2024-02-14,82.6,81.44,83.6,81.39,344360,0.0,2.67,-1.61,-1.33,0.0
布伦特原油当月连续,B00Y,2024-02-15,81.42,82.85,83.25,80.72,330451,0.0,3.1,1.53,1.25,0.0
布伦特原油当月连续,B00Y,2024-02-16,82.79,83.58,83.66,81.89,337055,0.0,2.14,0.87,0.72,0.0
布伦特原油当月连续,B00Y,2024-02-19,83.28,83.35,83.6,82.55,185058,0.0,1.26,-0.14,-0.12,0.0
布伦特原油当月连续,B00Y,2024-02-20,83.24,82.56,83.63,82.05,297026,0.0,1.89,-1.2,-1.0,0.0
布伦特原油当月连续,B00Y,2024-02-21,82.5,83.16,83.17,81.66,305182,0.0,1.83,1.0,0.82,0.0
布伦特原油当月连续,B00Y,2024-02-22,82.25,82.46,82.9,81.39,335760,0.0,1.82,-0.69,-0.57,0.0
布伦特原油当月连续,B00Y,2024-02-23,82.43,80.75,82.54,80.64,337539,0.0,2.3,-2.36,-1.95,0.0
布伦特原油当月连续,B00Y,2024-02-26,80.64,81.74,82.14,80.19,335455,0.0,2.41,1.16,0.94,0.0
布伦特原油当月连续,B00Y,2024-02-27,81.77,82.27,82.75,81.25,301071,0.0,1.84,0.73,0.6,0.0
布伦特原油当月连续,B00Y,2024-02-28,82.35,81.85,83.13,81.56,421517,0.0,1.9,-0.98,-0.81,0.0
布伦特原油当月连续,B00Y,2024-02-29,81.83,82.02,82.84,81.51,402340,0.0,1.62,-0.16,-0.13,0.0
布伦特原油当月连续,B00Y,2024-03-01,82.07,83.46,84.34,81.81,402472,0.0,3.09,1.89,1.55,0.0
布伦特原油当月连续,B00Y,2024-03-04,83.5,82.84,84.08,82.57,369831,0.0,1.81,-0.85,-0.71,0.0
布伦特原油当月连续,B00Y,2024-03-05,82.74,82.08,83.14,81.72,450397,0.0,1.71,-0.87,-0.72,0.0
布伦特原油当月连续,B00Y,2024-03-06,82.01,82.91,84.05,81.85,372050,0.0,2.68,1.06,0.87,0.0
布伦特原油当月连续,B00Y,2024-03-07,82.92,83.36,83.53,82.07,374565,0.0,1.76,0.48,0.4,0.0
布伦特原油当月连续,B00Y,2024-03-08,83.18,82.05,83.84,81.71,320299,0.0,2.57,-1.1,-0.91,0.0
布伦特原油当月连续,B00Y,2024-03-11,82.0,82.45,82.75,81.08,347327,0.0,2.03,0.45,0.37,0.0
布伦特原油当月连续,B00Y,2024-03-12,82.45,82.36,83.01,81.69,320254,0.0,1.61,0.18,0.15,0.0
布伦特原油当月连续,B00Y,2024-03-13,82.45,83.95,84.24,81.96,391687,0.0,2.78,2.48,2.03,0.0
布伦特原油当月连续,B00Y,2024-03-14,84.04,85.13,85.69,83.98,383733,0.0,2.03,1.31,1.1,0.0
布伦特原油当月连续,B00Y,2024-03-15,85.15,85.35,85.55,84.6,287008,0.0,1.11,-0.08,-0.07,0.0
布伦特原油当月连续,B00Y,2024-03-18,85.32,86.89,87.18,85.25,390067,0.0,2.26,1.82,1.55,0.0
布伦特原油当月连续,B00Y,2024-03-19,86.94,87.23,87.7,86.48,367418,0.0,1.4,0.39,0.34,0.0
布伦特原油当月连续,B00Y,2024-03-20,87.15,86.15,87.35,85.59,386301,0.0,2.01,-1.41,-1.23,0.0
布伦特原油当月连续,B00Y,2024-03-21,85.72,85.05,85.99,84.54,360748,0.0,1.69,-1.05,-0.9,0.0
布伦特原油当月连续,B00Y,2024-03-22,85.12,84.94,85.58,84.58,282648,0.0,1.17,-0.35,-0.3,0.0
布伦特原油当月连续,B00Y,2024-03-25,84.83,86.04,86.51,84.79,354261,0.0,2.03,1.43,1.21,0.0
布伦特原油当月连续,B00Y,2024-03-26,86.16,85.27,86.42,85.19,338858,0.0,1.43,-0.94,-0.81,0.0
布伦特原油当月连续,B00Y,2024-03-27,85.27,85.7,85.7,84.58,369265,0.0,1.31,0.08,0.07,0.0
布伦特原油当月连续,B00Y,2024-03-28,85.69,87.07,87.07,85.5,414238,0.0,1.84,1.94,1.66,0.0
布伦特原油当月连续,B00Y,2024-04-01,86.98,87.81,87.98,86.4,274955,0.0,1.82,0.93,0.81,0.0
布伦特原油当月连续,B00Y,2024-04-02,87.62,89.27,89.32,87.62,427936,0.0,1.94,2.12,1.85,0.0
布伦特原油当月连续,B00Y,2024-04-03,89.22,89.56,89.99,88.67,367368,0.0,1.48,0.72,0.64,0.0
布伦特原油当月连续,B00Y,2024-04-04,89.48,91.09,91.3,88.72,390949,0.0,2.89,1.95,1.74,0.0
布伦特原油当月连续,B00Y,2024-04-05,91.21,90.86,91.91,90.57,390775,0.0,1.48,0.23,0.21,0.0
布伦特原油当月连续,B00Y,2024-04-08,90.09,90.62,91.1,88.78,392338,0.0,2.54,-0.6,-0.55,0.0
布伦特原油当月连续,B00Y,2024-04-09,90.63,89.59,90.94,89.25,346434,0.0,1.87,-0.87,-0.79,0.0
布伦特原油当月连续,B00Y,2024-04-10,89.55,90.65,90.71,88.83,371230,0.0,2.1,1.38,1.23,0.0
布伦特原油当月连续,B00Y,2024-04-11,90.52,90.2,90.92,89.38,377533,0.0,1.7,-0.31,-0.28,0.0
布伦特原油当月连续,B00Y,2024-04-12,90.13,90.15,92.18,90.01,401215,0.0,2.42,0.46,0.41,0.0
布伦特原油当月连续,B00Y,2024-04-15,90.95,90.41,91.05,88.73,410360,0.0,2.56,-0.04,-0.04,0.0
布伦特原油当月连续,B00Y,2024-04-16,90.43,90.09,90.84,89.41,323523,0.0,1.59,-0.01,-0.01,0.0
布伦特原油当月连续,B00Y,2024-04-17,90.11,87.42,90.17,87.13,462933,0.0,3.38,-2.89,-2.6,0.0
布伦特原油当月连续,B00Y,2024-04-18,87.42,86.9,87.8,86.09,433240,0.0,1.96,-0.45,-0.39,0.0
布伦特原油当月连续,B00Y,2024-04-19,87.04,87.39,90.75,86.19,499709,0.0,5.23,0.32,0.28,0.0
布伦特原油当月连续,B00Y,2024-04-22,87.07,87.15,87.26,85.79,372125,0.0,1.68,-0.16,-0.14,0.0
布伦特原油当月连续,B00Y,2024-04-23,87.2,88.45,88.51,86.03,341782,0.0,2.85,1.67,1.45,0.0
布伦特原油当月连续,B00Y,2024-04-24,87.42,87.08,87.8,86.66,307902,0.0,1.29,-1.52,-1.34,0.0
布伦特原油当月连续,B00Y,2024-04-25,86.88,88.05,88.06,86.23,400166,0.0,2.1,1.16,1.01,0.0
布伦特原油当月连续,B00Y,2024-04-26,87.99,88.06,88.64,87.62,311639,0.0,1.16,0.33,0.29,0.0
布伦特原油当月连续,B00Y,2024-04-29,87.96,87.28,88.22,86.95,365235,0.0,1.44,-1.05,-0.93,0.0
布伦特原油当月连续,B00Y,2024-04-30,87.1,85.92,87.8,85.45,418504,0.0,2.69,-1.47,-1.28,0.0
布伦特原油当月连续,B00Y,2024-05-01,85.8,83.58,85.89,83.29,482834,0.0,3.01,-3.19,-2.75,0.0
布伦特原油当月连续,B00Y,2024-05-02,83.59,83.7,84.44,83.05,392637,0.0,1.67,0.31,0.26,0.0
布伦特原油当月连续,B00Y,2024-05-03,83.9,82.78,84.39,82.78,335565,0.0,1.92,-1.06,-0.89,0.0
布伦特原油当月连续,B00Y,2024-05-06,82.99,83.63,83.83,82.77,222392,0.0,1.28,0.81,0.67,0.0
布伦特原油当月连续,B00Y,2024-05-07,83.72,82.98,83.88,82.41,365212,0.0,1.76,-0.42,-0.35,0.0
布伦特原油当月连续,B00Y,2024-05-08,83.02,83.77,83.82,81.71,395430,0.0,2.54,0.73,0.61,0.0
布伦特原油当月连续,B00Y,2024-05-09,83.79,84.1,84.33,83.45,309448,0.0,1.05,0.62,0.52,0.0
布伦特原油当月连续,B00Y,2024-05-10,84.21,82.78,84.53,82.7,311453,0.0,2.18,-1.31,-1.1,0.0
布伦特原油当月连续,B00Y,2024-05-13,82.78,83.45,83.84,82.26,331784,0.0,1.91,0.8,0.66,0.0
布伦特原油当月连续,B00Y,2024-05-14,83.41,82.79,83.62,82.1,333574,0.0,1.82,-0.68,-0.57,0.0
布伦特原油当月连续,B00Y,2024-05-15,82.76,82.9,83.07,81.05,385983,0.0,2.45,0.63,0.52,0.0
布伦特原油当月连续,B00Y,2024-05-16,83.03,83.44,83.78,82.31,305714,0.0,1.78,0.83,0.69,0.0
布伦特原油当月连续,B00Y,2024-05-17,83.43,84.0,84.04,83.08,277184,0.0,1.15,0.88,0.73,0.0
布伦特原油当月连续,B00Y,2024-05-20,83.98,83.71,84.49,83.11,299828,0.0,1.64,-0.32,-0.27,0.0
布伦特原油当月连续,B00Y,2024-05-21,83.75,82.53,83.76,82.04,388556,0.0,2.05,-1.41,-1.18,0.0
布伦特原油当月连续,B00Y,2024-05-22,82.58,81.74,82.63,81.57,347596,0.0,1.28,-1.38,-1.14,0.0
布伦特原油当月连续,B00Y,2024-05-23,81.59,81.51,82.97,80.93,322411,0.0,2.49,-0.48,-0.39,0.0
布伦特原油当月连续,B00Y,2024-05-24,81.11,81.85,82.16,80.44,269407,0.0,2.11,0.6,0.49,0.0
布伦特原油当月连续,B00Y,2024-05-27,81.94,82.82,82.96,81.84,92280,0.0,1.37,1.2,0.98,0.0
布伦特原油当月连续,B00Y,2024-05-28,82.79,84.33,84.35,82.76,332165,0.0,1.92,1.75,1.45,0.0
布伦特原油当月连续,B00Y,2024-05-29,84.32,83.36,84.72,83.14,380057,0.0,1.88,-0.69,-0.58,0.0
布伦特原油当月连续,B00Y,2024-05-30,83.35,81.95,83.58,81.83,484695,0.0,2.1,-1.77,-1.48,0.0
布伦特原油当月连续,B00Y,2024-05-31,81.83,81.37,82.69,80.75,457000,0.0,2.37,-0.62,-0.51,0.0
布伦特原油当月连续,B00Y,2024-06-03,81.15,78.15,81.65,78.09,458864,0.0,4.39,-3.65,-2.96,0.0
布伦特原油当月连续,B00Y,2024-06-04,78.14,77.13,78.22,76.76,472048,0.0,1.86,-1.57,-1.23,0.0
布伦特原油当月连续,B00Y,2024-06-05,77.29,78.66,78.66,77.18,339354,0.0,1.91,1.47,1.14,0.0
布伦特原油当月连续,B00Y,2024-06-06,78.7,80.02,80.08,78.38,344983,0.0,2.17,2.05,1.61,0.0
