股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
标普500,SPX,2024-01-02,4745.2,4742.83,4754.33,4722.67,2402902928,0.0,0.66,-0.57,-27.0,0.0
标普500,SPX,2024-01-03,4725.07,4704.81,4729.29,4699.71,2402109568,0.0,0.62,-0.8,-38.02,0.0
标普500,SPX,2024-01-04,4697.42,4688.68,4726.78,4687.53,2330064368,0.0,0.83,-0.34,-16.13,0.0
标普500,SPX,2024-01-05,4690.57,4697.24,4721.49,4682.11,2190144352,0.0,0.84,0.18,8.56,0.0
标普500,SPX,2024-01-08,4703.7,4763.54,4764.54,4699.82,2290817760,0.0,1.38,1.41,66.3,0.0
标普500,SPX,2024-01-09,4741.93,4756.5,4765.47,4730.35,2217742560,0.0,0.74,-0.15,-7.04,0.0
标普500,SPX,2024-01-10,4759.94,4783.45,4790.8,4756.2,2148861216,0.0,0.73,0.57,26.95,0.0
标普500,SPX,2024-01-11,4792.13,4780.24,4798.5,4739.58,2301656896,0.0,1.23,-0.07,-3.21,0.0
标普500,SPX,2024-01-12,4791.18,4783.83,4802.4,4768.98,2234420928,0.0,0.7,0.08,3.59,0.0
标普500,SPX,2024-01-16,4772.35,4765.98,4782.34,4747.12,2587764928,0.0,0.74,-0.37,-17.85,0.0
标普500,SPX,2024-01-17,4739.13,4739.21,4744.23,4714.82,2306979568,0.0,0.62,-0.56,-26.77,0.0
标普500,SPX,2024-01-18,4760.1,4780.94,4785.79,4740.57,2575541104,0.0,0.95,0.88,41.73,0.0
标普500,SPX,2024-01-19,4796.28,4839.81,4842.07,4785.87,2744368592,0.0,1.18,1.23,58.87,0.0
标普500,SPX,2024-01-22,4853.42,4850.43,4868.41,4844.05,2612892320,0.0,0.5,0.22,10.62,0.0
标普500,SPX,2024-01-23,4856.8,4864.6,4866.48,4844.37,2365428224,0.0,0.46,0.29,14.17,0.0
标普500,SPX,2024-01-24,4888.56,4868.55,4903.68,4865.94,2643392656,0.0,0.78,0.08,3.95,0.0
标普500,SPX,2024-01-25,4886.66,4894.16,4898.15,4869.34,2877223632,0.0,0.59,0.53,25.61,0.0
标普500,SPX,2024-01-26,4888.91,4890.97,4906.69,4881.47,2362662608,0.0,0.52,-0.07,-3.19,0.0
标普500,SPX,2024-01-29,4892.95,4927.93,4929.31,4887.4,2288569440,0.0,0.86,0.76,36.96,0.0
标普500,SPX,2024-01-30,4925.89,4924.97,4931.09,4916.27,2540782608,0.0,0.3,-0.06,-2.96,0.0
标普500,SPX,2024-01-31,4899.19,4845.65,4906.75,4845.15,3269961648,0.0,1.25,-1.61,-79.32,0.0
标普500,SPX,2024-02-01,4861.11,4906.19,4906.97,4853.52,2752205040,0.0,1.1,1.25,60.54,0.0
