股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
纳斯达克,NDX,2024-01-02,14873.7,14765.94,14887.8,14682.38,5266108672,0.0,1.37,-1.63,-245.41,0.0
纳斯达克,NDX,2024-01-03,14641.47,14592.21,14694.58,14577.44,4983449088,0.0,0.79,-1.18,-173.73,0.0
纳斯达克,NDX,2024-01-04,14532.23,14510.3,14632.77,14504.78,4899669760,0.0,0.88,-0.56,-81.91,0.0
纳斯达克,NDX,2024-01-05,14500.11,14524.07,14625.19,14477.57,4788419328,0.0,1.02,0.09,13.77,0.0
纳斯达克,NDX,2024-01-08,14564.47,14843.77,14846.9,14560.2,5924660992,0.0,1.97,2.2,319.7,0.0
纳斯达克,NDX,2024-01-09,14744.13,14857.71,14894.32,14716.71,4681760768,0.0,1.2,0.09,13.94,0.0
纳斯达克,NDX,2024-01-10,14877.7,14969.65,14998.2,14842.7,3979738960,0.0,1.05,0.75,111.94,0.0
纳斯达克,NDX,2024-01-11,15020.95,14970.19,15063.61,14800.38,4507936768,0.0,1.76,0.0,0.54,0.0
纳斯达克,NDX,2024-01-12,15001.01,14972.76,15047.25,14931.88,4518472704,0.0,0.77,0.02,2.57,0.0
纳斯达克,NDX,2024-01-16,14908.26,14944.35,15004.35,14863.81,5971415040,0.0,0.94,-0.19,-28.41,0.0
纳斯达克,NDX,2024-01-17,14814.77,14855.62,14865.76,14706.23,4677322752,0.0,1.07,-0.59,-88.73,0.0
纳斯达克,NDX,2024-01-18,14994.52,15055.65,15066.81,14911.11,5032619008,0.0,1.05,1.35,200.03,0.0
纳斯达克,NDX,2024-01-19,15122.38,15310.97,15310.97,15087.2,5034853888,0.0,1.49,1.7,255.32,0.0
纳斯达克,NDX,2024-01-22,15393.05,15360.29,15438.85,15333.63,4956061952,0.0,0.69,0.32,49.32,0.0
纳斯达克,NDX,2024-01-23,15391.41,15425.94,15432.35,15337.23,4843718400,0.0,0.62,0.43,65.65,0.0
纳斯达克,NDX,2024-01-24,15560.61,15481.92,15629.07,15468.91,4440267264,0.0,1.04,0.36,55.98,0.0
纳斯达克,NDX,2024-01-25,15555.62,15510.5,15597.25,15430.68,4675126016,0.0,1.08,0.18,28.58,0.0
纳斯达克,NDX,2024-01-26,15474.85,15455.36,15538.84,15433.04,4073514416,0.0,0.68,-0.36,-55.14,0.0
纳斯达克,NDX,2024-01-29,15470.66,15628.04,15630.58,15449.87,4581281536,0.0,1.17,1.12,172.68,0.0
纳斯达克,NDX,2024-01-30,15604.08,15509.9,15619.23,15484.67,4376811776,0.0,0.86,-0.76,-118.14,0.0
纳斯达克,NDX,2024-01-31,15324.19,15164.01,15405.56,15158.49,5197226496,0.0,1.59,-2.23,-345.89,0.0
纳斯达克,NDX,2024-02-01,15254.02,15361.64,15372.13,15208.88,4444931584,0.0,1.08,1.3,197.63,0.0
纳斯达克,NDX,2024-02-02,15403.16,15628.95,15664.21,15366.78,4197055568,0.0,1.94,1.74,267.31,0.0
纳斯达克,NDX,2024-02-05,15613.99,15597.68,15637.88,15471.68,4274978784,0.0,1.06,-0.2,-31.27,0.0
纳斯达克,NDX,2024-02-06,15638.19,15609.0,15652.75,15515.25,4324976640,0.0,0.88,0.07,11.32,0.0
