股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
黄金/美元,XAU,2024-01-01,2066.26,2066.26,2066.26,2066.26,0,0.0,0.0,0.16,3.36,0.0
黄金/美元,XAU,2024-01-02,2066.26,2058.99,2078.48,2057.95,0,0.0,0.99,-0.35,-7.27,0.0
黄金/美元,XAU,2024-01-03,2058.99,2041.47,2065.78,2031.16,0,0.0,1.68,-0.85,-17.52,0.0
黄金/美元,XAU,2024-01-04,2041.47,2043.42,2050.6,2037.66,0,0.0,0.63,0.1,1.95,0.0
黄金/美元,XAU,2024-01-05,2043.37,2045.57,2063.34,2026.69,0,0.0,1.79,0.11,2.15,0.0
黄金/美元,XAU,2024-01-08,2045.19,2028.05,2046.69,2016.88,0,0.0,1.46,-0.86,-17.52,0.0
黄金/美元,XAU,2024-01-09,2028.05,2030.19,2039.76,2026.51,0,0.0,0.65,0.11,2.14,0.0
黄金/美元,XAU,2024-01-10,2030.19,2024.37,2038.53,2020.51,0,0.0,0.89,-0.29,-5.82,0.0
黄金/美元,XAU,2024-01-11,2024.37,2028.69,2037.59,2013.67,0,0.0,1.18,0.21,4.32,0.0
黄金/美元,XAU,2024-01-12,2028.76,2048.99,2061.46,2028.72,0,0.0,1.61,1.0,20.3,0.0
黄金/美元,XAU,2024-01-15,2047.38,2054.76,2058.68,2045.9,0,0.0,0.62,0.28,5.77,0.0
黄金/美元,XAU,2024-01-16,2054.76,2028.47,2055.46,2024.62,0,0.0,1.5,-1.28,-26.29,0.0
黄金/美元,XAU,2024-01-17,2028.47,2006.36,2032.51,2002.11,0,0.0,1.5,-1.09,-22.11,0.0
黄金/美元,XAU,2024-01-18,2006.36,2023.13,2023.26,2006.26,0,0.0,0.85,0.84,16.77,0.0
黄金/美元,XAU,2024-01-19,2023.13,2029.63,2038.01,2020.53,0,0.0,0.86,0.32,6.5,0.0
黄金/美元,XAU,2024-01-22,2029.13,2021.71,2032.2,2016.69,0,0.0,0.76,-0.39,-7.92,0.0
黄金/美元,XAU,2024-01-23,2021.71,2029.21,2037.22,2019.72,0,0.0,0.87,0.37,7.5,0.0
黄金/美元,XAU,2024-01-24,2029.21,2014.1,2035.63,2011.96,0,0.0,1.17,-0.74,-15.11,0.0
黄金/美元,XAU,2024-01-25,2014.1,2020.86,2024.74,2012.73,0,0.0,0.6,0.34,6.76,0.0
黄金/美元,XAU,2024-01-26,2020.71,2018.57,2026.2,2016.22,0,0.0,0.49,-0.11,-2.29,0.0
黄金/美元,XAU,2024-01-29,2026.19,2032.08,2037.6,2019.35,0,0.0,0.9,0.67,13.51,0.0
黄金/美元,XAU,2024-01-30,2032.08,2036.92,2048.39,2030.23,0,0.0,0.89,0.24,4.84,0.0
黄金/美元,XAU,2024-01-31,2036.92,2039.06,2055.16,2031.82,0,0.0,1.15,0.11,2.14,0.0
黄金/美元,XAU,2024-02-01,2039.06,2054.74,2065.22,2030.83,0,0.0,1.69,0.77,15.68,0.0
黄金/美元,XAU,2024-02-02,2054.85,2039.66,2057.14,2028.28,0,0.0,1.4,-0.73,-15.08,0.0
黄金/美元,XAU,2024-02-05,2040.07,2024.86,2042.34,2014.98,0,0.0,1.34,-0.73,-14.8,0.0
黄金/美元,XAU,2024-02-06,2024.86,2036.0,2038.54,2023.5,0,0.0,0.74,0.55,11.14,0.0
黄金/美元,XAU,2024-02-07,2036.0,2035.07,2043.9,2030.88,0,0.0,0.64,-0.05,-0.93,0.0
黄金/美元,XAU,2024-02-08,2035.07,2034.32,2038.55,2020.82,0,0.0,0.87,-0.04,-0.75,0.0
黄金/美元,XAU,2024-02-09,2034.21,2024.5,2035.44,2020.68,0,0.0,0.73,-0.48,-9.82,0.0
黄金/美元,XAU,2024-02-12,2025.56,2020.1,2027.61,2011.95,0,0.0,0.77,-0.22,-4.4,0.0
黄金/美元,XAU,2024-02-13,2019.86,1992.96,2029.28,1990.85,0,0.0,1.9,-1.34,-27.14,0.0
黄金/美元,XAU,2024-02-14,1992.96,1991.81,1995.9,1985.71,0,0.0,0.51,-0.06,-1.15,0.0
黄金/美元,XAU,2024-02-15,1991.81,2003.85,2007.96,1990.44,0,0.0,0.88,0.6,12.04,0.0
黄金/美元,XAU,2024-02-16,2004.09,2013.0,2015.1,1996.33,0,0.0,0.94,0.46,9.15,0.0
黄金/美元,XAU,2024-02-19,2014.89,2017.94,2023.01,2010.47,0,0.0,0.62,0.25,4.94,0.0
黄金/美元,XAU,2024-02-20,2017.94,2024.08,2030.74,2015.07,0,0.0,0.78,0.3,6.14,0.0
黄金/美元,XAU,2024-02-21,2024.08,2026.07,2032.07,2020.93,0,0.0,0.55,0.1,1.99,0.0
黄金/美元,XAU,2024-02-22,2026.07,2024.46,2034.31,2020.36,0,0.0,0.69,-0.08,-1.61,0.0
黄金/美元,XAU,2024-02-23,2024.32,2035.57,2041.61,2016.16,0,0.0,1.26,0.55,11.11,0.0
黄金/美元,XAU,2024-02-26,2033.22,2031.35,2037.1,2025.14,0,0.0,0.59,-0.21,-4.22,0.0
黄金/美元,XAU,2024-02-27,2031.34,2030.52,2039.4,2029.04,0,0.0,0.51,-0.04,-0.83,0.0
黄金/美元,XAU,2024-02-28,2030.52,2034.56,2037.18,2024.98,0,0.0,0.6,0.2,4.04,0.0
黄金/美元,XAU,2024-02-29,2034.56,2044.13,2050.53,2028.29,0,0.0,1.09,0.47,9.57,0.0
黄金/美元,XAU,2024-03-01,2044.11,2082.55,2087.93,2039.25,0,0.0,2.38,1.88,38.42,0.0
黄金/美元,XAU,2024-03-04,2083.09,2114.47,2119.97,2079.55,0,0.0,1.94,1.53,31.92,0.0
黄金/美元,XAU,2024-03-05,2114.47,2127.96,2139.43,2110.7,0,0.0,1.36,0.64,13.49,0.0
黄金/美元,XAU,2024-03-06,2127.96,2148.12,2151.66,2124.09,0,0.0,1.3,0.95,20.16,0.0
黄金/美元,XAU,2024-03-07,2148.12,2159.92,2162.79,2144.72,0,0.0,0.84,0.55,11.8,0.0
黄金/美元,XAU,2024-03-08,2159.85,2178.8,2194.19,2154.36,0,0.0,1.84,0.87,18.88,0.0
黄金/美元,XAU,2024-03-11,2179.12,2182.72,2188.21,2176.63,0,0.0,0.53,0.18,3.92,0.0
黄金/美元,XAU,2024-03-12,2182.72,2158.22,2184.45,2151.75,0,0.0,1.5,-1.12,-24.5,0.0
黄金/美元,XAU,2024-03-13,2158.22,2174.58,2179.29,2156.19,0,0.0,1.07,0.76,16.36,0.0
黄金/美元,XAU,2024-03-14,2174.61,2162.27,2176.88,2154.26,0,0.0,1.04,-0.57,-12.31,0.0
黄金/美元,XAU,2024-03-15,2162.27,2156.08,2172.46,2155.68,0,0.0,0.78,-0.29,-6.19,0.0
黄金/美元,XAU,2024-03-18,2156.5,2160.3,2163.11,2146.41,0,0.0,0.77,0.2,4.22,0.0
黄金/美元,XAU,2024-03-19,2160.3,2157.53,2162.76,2148.05,0,0.0,0.68,-0.13,-2.77,0.0
黄金/美元,XAU,2024-03-20,2157.53,2186.1,2187.98,2150.31,0,0.0,1.75,1.32,28.57,0.0
黄金/美元,XAU,2024-03-21,2186.1,2181.28,2211.32,2167.7,0,0.0,2.0,-0.22,-4.82,0.0
黄金/美元,XAU,2024-03-22,2181.24,2165.64,2185.7,2157.92,0,0.0,1.27,-0.72,-15.64,0.0
黄金/美元,XAU,2024-03-25,2176.3,2171.88,2180.0,2164.06,0,0.0,0.74,0.29,6.24,0.0
黄金/美元,XAU,2024-03-26,2171.88,2178.29,2198.97,2167.99,0,0.0,1.43,0.3,6.41,0.0
